"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","LAMB2","CD44",0.00202794226350151,0,"LAMB2_CD44","LAMB2 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Normal_Epithelial","Tumor_Epithelial","LAMB3","CD44",0.00116513511289375,0.02,"LAMB3_CD44","LAMB3 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Endothelial_cells","Tumor_Epithelial","LAMC1","CD44",0.0021430319029703,0,"LAMC1_CD44","LAMC1 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","LAMC1","CD44",0.00249022069463753,0,"LAMC1_CD44","LAMC1 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"iPS_cells","Tumor_Epithelial","LAMC1","CD44",0.00212605477304178,0,"LAMC1_CD44","LAMC1 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","COL1A1","SDC1",0.0345281478871851,0,"COL1A1_SDC1","COL1A1 - SDC1","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","COL1A2","SDC1",0.0344890089208369,0,"COL1A2_SDC1","COL1A2 - SDC1","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"iPS_cells","Tumor_Epithelial","COL2A1","SDC1",0.00199374267021138,0,"COL2A1_SDC1","COL2A1 - SDC1","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Endothelial_cells","Tumor_Epithelial","COL4A1","SDC1",0.0233055649355074,0,"COL4A1_SDC1","COL4A1 - SDC1","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","COL4A1","SDC1",0.00315719488442318,0,"COL4A1_SDC1","COL4A1 - SDC1","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Endothelial_cells","Tumor_Epithelial","COL4A2","SDC1",0.0181748798951011,0,"COL4A2_SDC1","COL4A2 - SDC1","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","COL4A2","SDC1",0.00334606843470532,0,"COL4A2_SDC1","COL4A2 - SDC1","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Endothelial_cells","Tumor_Epithelial","COL6A1","SDC1",0.00164856368338448,0,"COL6A1_SDC1","COL6A1 - SDC1","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","COL6A1","SDC1",0.0190801618601768,0,"COL6A1_SDC1","COL6A1 - SDC1","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Endothelial_cells","Tumor_Epithelial","COL6A2","SDC1",0.00333795337604156,0,"COL6A2_SDC1","COL6A2 - SDC1","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","COL6A2","SDC1",0.0180443801197721,0,"COL6A2_SDC1","COL6A2 - SDC1","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"iPS_cells","Tumor_Epithelial","COL6A2","SDC1",0.00199042364429283,0,"COL6A2_SDC1","COL6A2 - SDC1","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","COL6A3","SDC1",0.0163712288713145,0,"COL6A3_SDC1","COL6A3 - SDC1","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Endothelial_cells","Tumor_Epithelial","FN1","SDC1",0.00308490062478906,0,"FN1_SDC1","FN1 - SDC1","FN1","ECM-Receptor","KEGG: hsa04512"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","FN1","SDC1",0.0286372084090075,0,"FN1_SDC1","FN1 - SDC1","FN1","ECM-Receptor","KEGG: hsa04512"
"Macrophage","Tumor_Epithelial","FN1","SDC1",0.00480733869966081,0,"FN1_SDC1","FN1 - SDC1","FN1","ECM-Receptor","KEGG: hsa04512"
"Normal_Epithelial","Tumor_Epithelial","TNC","SDC1",0.00143885225708473,0,"TNC_SDC1","TNC - SDC1","TENASCIN","ECM-Receptor","KEGG: hsa04512"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","THBS1","SDC1",0.00439691435599997,0,"THBS1_SDC1","THBS1 - SDC1","THBS","ECM-Receptor","KEGG: hsa04512"
"Normal_Epithelial","Tumor_Epithelial","THBS1","SDC1",0.00124520712666597,0,"THBS1_SDC1","THBS1 - SDC1","THBS","ECM-Receptor","KEGG: hsa04512"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","THBS2","SDC1",0.0136079420657517,0,"THBS2_SDC1","THBS2 - SDC1","THBS","ECM-Receptor","KEGG: hsa04512"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","COL1A1","SDC4",0.120329530167295,0,"COL1A1_SDC4","COL1A1 - SDC4","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","COL1A2","SDC4",0.120205241240477,0,"COL1A2_SDC4","COL1A2 - SDC4","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"iPS_cells","Tumor_Epithelial","COL2A1","SDC4",0.00758313030800358,0,"COL2A1_SDC4","COL2A1 - SDC4","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Endothelial_cells","Tumor_Epithelial","COL4A1","SDC4",0.083634981464011,0,"COL4A1_SDC4","COL4A1 - SDC4","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","COL4A1","SDC4",0.0119691622153275,0,"COL4A1_SDC4","COL4A1 - SDC4","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Endothelial_cells","Tumor_Epithelial","COL4A2","SDC4",0.0661220163336834,0,"COL4A2_SDC4","COL4A2 - SDC4","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","COL4A2","SDC4",0.0126784912226725,0,"COL4A2_SDC4","COL4A2 - SDC4","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Endothelial_cells","Tumor_Epithelial","COL6A1","SDC4",0.00627633986985871,0,"COL6A1_SDC4","COL6A1 - SDC4","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","COL6A1","SDC4",0.069247083065467,0,"COL6A1_SDC4","COL6A1 - SDC4","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Endothelial_cells","Tumor_Epithelial","COL6A2","SDC4",0.0126480299183391,0,"COL6A2_SDC4","COL6A2 - SDC4","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","COL6A2","SDC4",0.0656702721079165,0,"COL6A2_SDC4","COL6A2 - SDC4","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"iPS_cells","Tumor_Epithelial","COL6A2","SDC4",0.00757057709257398,0,"COL6A2_SDC4","COL6A2 - SDC4","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","COL6A3","SDC4",0.0598502064783412,0,"COL6A3_SDC4","COL6A3 - SDC4","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Endothelial_cells","Tumor_Epithelial","FN1","SDC4",0.011697457036814,0,"FN1_SDC4","FN1 - SDC4","FN1","ECM-Receptor","KEGG: hsa04512"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","FN1","SDC4",0.101336281977884,0,"FN1_SDC4","FN1 - SDC4","FN1","ECM-Receptor","KEGG: hsa04512"
"Macrophage","Tumor_Epithelial","FN1","SDC4",0.0181411640492635,0,"FN1_SDC4","FN1 - SDC4","FN1","ECM-Receptor","KEGG: hsa04512"
"Normal_Epithelial","Tumor_Epithelial","TNC","SDC4",0.00548116771150824,0,"TNC_SDC4","TNC - SDC4","TENASCIN","ECM-Receptor","KEGG: hsa04512"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","THBS1","SDC4",0.0166113716822598,0,"THBS1_SDC4","THBS1 - SDC4","THBS","ECM-Receptor","KEGG: hsa04512"
"Normal_Epithelial","Tumor_Epithelial","THBS1","SDC4",0.0047460811411695,0,"THBS1_SDC4","THBS1 - SDC4","THBS","ECM-Receptor","KEGG: hsa04512"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","THBS2","SDC4",0.0501220946266074,0,"THBS2_SDC4","THBS2 - SDC4","THBS","ECM-Receptor","KEGG: hsa04512"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","THBS1","CD47",0.0144657469928499,0,"THBS1_CD47","THBS1 - CD47","THBS","ECM-Receptor","KEGG: hsa04512"
"Normal_Epithelial","Tumor_Epithelial","THBS1","CD47",0.00412661749756361,0,"THBS1_CD47","THBS1 - CD47","THBS","ECM-Receptor","KEGG: hsa04512"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","THBS2","CD47",0.0438409922529933,0,"THBS2_CD47","THBS2 - CD47","THBS","ECM-Receptor","KEGG: hsa04512"
"Endothelial_cells","Tumor_Epithelial","APP","CD74",0.066007132361041,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Normal_Epithelial","Tumor_Epithelial","APP","CD74",0.0466173211385485,0.01,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Tumor_Epithelial","Tumor_Epithelial","APP","CD74",0.0385234619260856,0.01,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Endothelial_cells","Tumor_Epithelial","CD99","CD99",0.0385688369377214,0.02,"CD99_CD99","CD99 - CD99","CD99","Cell-Cell Contact","KEGG: hsa04514"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","CD99","CD99",0.0524646672027701,0,"CD99_CD99","CD99 - CD99","CD99","Cell-Cell Contact","KEGG: hsa04514"
"Tumor_Epithelial","Tumor_Epithelial","CD99","CD99",0.0348618811969914,0,"CD99_CD99","CD99 - CD99","CD99","Cell-Cell Contact","KEGG: hsa04514"
"iPS_cells","Tumor_Epithelial","DSC2","DSG2",0.00964839964656031,0,"DSC2_DSG2","DSC2 - DSG2","DESMOSOME","Cell-Cell Contact","PMID: 27298358"
"Tumor_Epithelial","Tumor_Epithelial","DSC2","DSG2",0.00112083421967686,0,"DSC2_DSG2","DSC2 - DSG2","DESMOSOME","Cell-Cell Contact","PMID: 27298358"
"iPS_cells","Tumor_Epithelial","DSG2","DSC3",0.00243907283029243,0.01,"DSG2_DSC3","DSG2 - DSC3","DESMOSOME","Cell-Cell Contact","PMID: 27298358"
"Normal_Epithelial","Tumor_Epithelial","DSG2","DSC3",0.00157382902289279,0,"DSG2_DSC3","DSG2 - DSC3","DESMOSOME","Cell-Cell Contact","PMID: 27298358"
"Tumor_Epithelial","Tumor_Epithelial","DSG2","DSC3",0.00183690519909638,0,"DSG2_DSC3","DSG2 - DSC3","DESMOSOME","Cell-Cell Contact","PMID: 27298358"
"DC-Monocyt","Tumor_Epithelial","ITGB2","ICAM1",0.032910304045854,0,"ITGB2_ICAM1","ITGB2 - ICAM1","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"Macrophage","Tumor_Epithelial","ITGB2","ICAM1",0.0328322335148161,0,"ITGB2_ICAM1","ITGB2 - ICAM1","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"NK_cell-T_cells","Tumor_Epithelial","ITGB2","ICAM1",0.0117485219451188,0,"ITGB2_ICAM1","ITGB2 - ICAM1","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"Pre-B_cell_CD34-","Tumor_Epithelial","ITGB2","ICAM1",0.00400316489940197,0,"ITGB2_ICAM1","ITGB2 - ICAM1","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"Tumor_Epithelial","Tumor_Epithelial","F11R","F11R",0.0025749916870498,0,"F11R_F11R","F11R - F11R","JAM","Cell-Cell Contact","KEGG: hsa04514"
"Endothelial_cells","Tumor_Epithelial","JAM2","F11R",0.00287229726451806,0,"JAM2_F11R","JAM2 - F11R","JAM","Cell-Cell Contact","KEGG: hsa04514"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","MPZL1","MPZL1",0.00120162598869704,0,"MPZL1_MPZL1","MPZL1 - MPZL1","MPZ","Cell-Cell Contact","KEGG: hsa04514"
"iPS_cells","Tumor_Epithelial","MPZL1","MPZL1",0.00208795971475698,0.01,"MPZL1_MPZL1","MPZL1 - MPZL1","MPZ","Cell-Cell Contact","KEGG: hsa04514"
"Normal_Epithelial","Tumor_Epithelial","MPZL1","MPZL1",0.00124275233738949,0,"MPZL1_MPZL1","MPZL1 - MPZL1","MPZ","Cell-Cell Contact","KEGG: hsa04514"
"Tumor_Epithelial","Tumor_Epithelial","MPZL1","MPZL1",0.0015160702239959,0,"MPZL1_MPZL1","MPZL1 - MPZL1","MPZ","Cell-Cell Contact","KEGG: hsa04514"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","JAG1","NOTCH3",0.000797151272001222,0,"JAG1_NOTCH3","JAG1 - NOTCH3","NOTCH","Cell-Cell Contact","PMID: 22353464"
"Normal_Epithelial","Tumor_Epithelial","JAG1","NOTCH3",0.000806635536353485,0,"JAG1_NOTCH3","JAG1 - NOTCH3","NOTCH","Cell-Cell Contact","PMID: 22353464"
"Endothelial_cells","Tumor_Epithelial","JAG2","NOTCH3",0.00215004134174935,0,"JAG2_NOTCH3","JAG2 - NOTCH3","NOTCH","Cell-Cell Contact","PMID: 22353464"
"Endothelial_cells","Tumor_Epithelial","SELE","CD44",0.00237950316795742,0,"SELE_CD44","SELE - CD44","SELE","Cell-Cell Contact","PMC4571854"
"Endothelial_cells","Tumor_Epithelial","SELE","GLG1",0.00113070887822101,0,"SELE_GLG1","SELE - GLG1","SELE","Cell-Cell Contact","PMID: 11404363"
"NK_cell-T_cells","Tumor_Epithelial","TIGIT","NECTIN2",0.00185390398875855,0,"TIGIT_NECTIN2","TIGIT - NECTIN2","TIGIT","Cell-Cell Contact","PMID: 1313846; PMID:24987108"
