"Temporal_Cluster","Gene"
"2","SERTAD4"
"2","THUMPD3-AS1"
"2","NDUFA4L2"
"2","GMPR"
"2","C19orf48"
"2","RPL13A"
"2","CACNA1A"
"2","SELENBP1"
"2","KRT5"
"2","RPL5"
"2","RPS26"
"2","EEF1A1"
"2","NUCB2"
"2","RPL18A"
"2","LGALS1"
"2","SERTAD4-AS1"
"2","GAPDH"
"2","CALML5"
"2","PSAP"
"2","RPS11"
"2","TNNT1"
"2","COL8A1"
"2","RPS18"
"2","NFIX"
"2","RPL18"
"2","POLE4"
"2","FAM3B"
"2","UBA52"
"2","TET1"
"2","PTX3"
"2","RPLP2"
"2","RPS6"
"2","RBP4"
"2","CADM1"
"2","CLEC7A"
"2","HSPA14.1"
"2","RPL28"
"2","RPL7A"
"2","PLTP"
"2","JUNB"
"2","MXRA8"
"2","CXCR4"
"2","PPP1R1B"
"2","DLX5"
"2","MAL"
"2","RPL32"
"2","FOLR1"
"2","CXCL14"
"2","RPS27A"
"2","RPS9"
"2","CHST9"
"2","NECTIN4"
"2","RPL6"
"2","RPL10A"
"2","AC020916.1"
"2","RPS24"
"2","NEBL"
"2","CDA"
"2","RPL21"
"2","GJA1"
"2","CALML3"
"2","FGFBP2"
"2","RPL41"
"2","GPX3"
"2","RPL10"
"2","ID1"
"2","ALDH1A1"
"2","AL139393.2"
"2","ERBB3"
"2","CHST1"
"2","CA2"
"2","HOOK2"
"2","DLX1"
"2","P4HA1"
"2","HSD17B1"
"2","TF"
"2","NCBP2"
"2","AC011503.1"
"2","KIAA1324"
"2","SCRG1"
"2","LTBP4"
"2","CTHRC1"
