"Gene","Cluster","Centroid_Pearson_Correlation","Silhouette_Width","Rank_Within_Cluster"
"CISD1",2,0.940118674355729,0.677693722290854,203
"EI24",2,0.940089499723511,0.65130839979471,204
"MLF2",2,0.939751148881315,0.652453392616157,205
"ARPC3",2,0.939571240356336,0.654103805666861,206
"LAMTOR2",2,0.939547725911058,0.679262090349024,207
"MARCKSL1",2,0.939483487713419,0.677634413110719,208
"EIF4G1",2,0.939310499720429,0.678272849770983,209
"TSEN34",2,0.939197926725026,0.69274896957036,210
"TFAM",2,0.939018657600319,0.671782832774167,211
"ERG28",2,0.938549401000351,0.66530968782017,212
"DHPS",2,0.938539565578348,0.680977138352753,213
"WRB",2,0.93805564922582,0.676128476752166,214
"SUMO1",2,0.938030869158424,0.67679914936188,215
"ECH1",2,0.937768061114875,0.650487552077802,216
"TMEM14C",2,0.937746164205424,0.648036119118277,217
"MRPL39",2,0.937013120985669,0.682905935039709,218
"POLR2H",2,0.936890893525806,0.693360003019845,219
"NQO1",2,0.936825703078972,0.66135938846373,220
"CSRP2",2,0.936530844607964,0.671380377609281,221
"CD63",2,0.936203673321292,0.645929605634323,222
"YWHAQ",2,0.936111710103208,0.672066638391667,223
"SLPI",2,0.935945272433877,0.680067455338356,224
"BASP1",2,0.935543470395997,0.67264928147317,225
"APH1A",2,0.935166082512275,0.663856407955062,226
"PFN1",2,0.93437178971593,0.668439401346737,227
"WDR83OS",2,0.933887954283694,0.657264774822604,228
"EBLN3P",2,0.933797141284993,0.66601369191228,229
"LSM4",2,0.933680502528187,0.665041226503161,230
"EMP2",2,0.932752851479814,0.681046126267442,231
"SPATC1L",2,0.932319341251022,0.67749110001458,232
"DBI",2,0.932084802775827,0.677075811071647,233
"MDH1",2,0.932077214777855,0.676787718973695,234
"HAT1",2,0.931976855779442,0.640123712033826,235
"MAGOH",2,0.931853362470328,0.676585481174411,236
"SPATS2",2,0.931809712370059,0.66648724364142,237
"MRPS12",2,0.93155881136737,0.677244314385988,238
"THYN1",2,0.93099991666627,0.64489455029887,239
"RBM17",2,0.93095222199737,0.678712889088142,240
"TBCA",2,0.930939849462553,0.65778357870512,241
"SDC1",2,0.930101546902607,0.665529963754534,242
"DESI2",2,0.929971102708832,0.671268466820764,243
"PDIA6",2,0.929748436905535,0.658273963034798,244
"DPM1",2,0.929345605587004,0.681744311086538,245
"UBXN4",2,0.929227729566566,0.63511944266506,246
"GORASP2",2,0.929198032588245,0.651648081685277,247
"RAB5IF",2,0.929042351284351,0.675953167417018,248
"TEAD2",2,0.928853748818854,0.649098928950967,249
"LAGE3",2,0.928837521631504,0.680962279386577,250
"C6orf48",2,0.928580062605402,0.663292221721167,251
"PPP4C",2,0.928530869989067,0.670661861174343,252
"PGAM1",2,0.928435392795717,0.651927246371988,253
"UTP11",2,0.928280502066996,0.680413472583622,254
"LARP6",2,0.927949654063602,0.649335958005863,255
"MDFI",2,0.927825863046221,0.658717026415065,256
"ERGIC3",2,0.927722958677416,0.644927208311185,257
"YIPF3",2,0.927035869352536,0.638988019731813,258
"CD9",2,0.926974502716036,0.642095253237715,259
"RTRAF",2,0.92669797171309,0.628979247764037,260
"ATP5PD",2,0.926324437697427,0.67247631938575,261
"DNASE2",2,0.926204247436258,0.660344070286595,262
"COX4I1",2,0.92610096786566,0.639355454311719,263
"LAPTM4A",2,0.925956498014591,0.659860489324462,264
"EIF3D",2,0.925594833581735,0.633025148038949,265
"RFXANK",2,0.925584761656307,0.656631602851006,266
"GNL2",2,0.924176375034418,0.663208968196716,267
"NAP1L1",2,0.923236840601972,0.648800431730163,268
"PSMD2",2,0.923091254951217,0.671784731818816,269
"SUMO3",2,0.922658584073137,0.665441178208192,270
"ACTL6A",2,0.922587916614488,0.67702770252633,271
"GMPS",2,0.922140404392777,0.676955745891254,272
"KRT8",2,0.921499416175285,0.65836658493037,273
"MRPS15",2,0.92103701914295,0.668548070435102,274
"PRDX4",2,0.920431697538596,0.634842052444352,275
"PHGDH",2,0.920417097916435,0.667641274036437,276
"MORF4L2",2,0.920285855941313,0.650754928509441,277
"ATP5MG",2,0.92024494423729,0.643061104403781,278
"CRABP1",2,0.919764122018329,0.652402448986725,279
"LMCD1",2,0.919319077987562,0.64215283934694,280
"SSR1",2,0.918743685364068,0.643207020621885,281
"MAP1LC3B",2,0.918646645593909,0.632646993740841,282
"ODC1",2,0.918412233699881,0.660180609462405,283
"C1orf122",2,0.916386686777216,0.631658910996932,284
"LMO4",2,0.916358913722681,0.651946259515675,285
"PARP1",2,0.915487228259429,0.648418271771814,286
"HNRNPH3",2,0.914876525440616,0.642703414810479,287
"TMEM123",2,0.914750367809665,0.649675712351816,288
"TMEM205",2,0.914352081690295,0.645153566509396,289
"FAM178B",2,0.914318792404173,0.660387341196386,290
"PRPF31",2,0.914130075303114,0.664310402964899,291
"PERP",2,0.913452803925796,0.658645333421297,292
"TMEM258",2,0.913232831753408,0.611495089211954,293
"FADS2",2,0.913161221424502,0.655569514660183,294
"NR1H2",2,0.913111289865327,0.651569481734857,295
"MSRB2",2,0.913024072328611,0.622117462850141,296
"SH3BGR",2,0.91225732660806,0.647770530961929,297
"ARF4",2,0.912142129024609,0.619978711124733,298
"YIF1A",2,0.911918308504668,0.62940453553265,299
"UBB",2,0.911402581292302,0.624475529693352,300
"GRN",2,0.911317369621845,0.626143285441157,301
"FDPS",2,0.911026648936737,0.65216691578625,302
"SLIRP",2,0.910251536834914,0.633602266648526,303
"PCNA",2,0.908766942576439,0.652858042778933,304
"CHCHD2",2,0.908636497786332,0.627175004253031,305
"CALR",2,0.908531312780443,0.617248377661968,306
"MDK",2,0.908059460485011,0.636397830367331,307
"POLR1D",2,0.905671574897419,0.631128905156956,308
"SF3B2",2,0.905586908834573,0.630131992341398,309
"SIX1",2,0.90465531548657,0.652022654268934,310
"CCNH",2,0.904249243629823,0.640216688948871,311
"UNC50",2,0.90323061292992,0.608437580249015,312
"RASIP1",2,0.903011874196869,0.648937847636884,313
"SMCO4",2,0.902343799483508,0.641399848769903,314
"MYDGF",2,0.901958771210654,0.608077918154808,315
"KIT",2,0.90094394713406,0.626885358591674,316
"PRDX1",2,0.900742811333295,0.649036415709463,317
"HSBP1",2,0.90016406449719,0.608090463189509,318
"TFPT",2,0.899442967424761,0.64377303511573,319
"CCND1",2,0.899396299042382,0.639712434701279,320
"TTYH1",2,0.899183832408535,0.657644238189721,321
"MALL",2,0.89871352721185,0.645762121119431,322
"TUBA1B",2,0.898255976636114,0.650720609658288,323
"FABP5",2,0.898142089053868,0.637999915771281,324
"KRT6B",2,0.897528507402114,0.639710744951478,325
"NPW",2,0.897224129557066,0.626944746664497,326
"SEC11C",2,0.897040910833232,0.621300734417604,327
"PSMG1",2,0.896202333330313,0.619647384394621,328
"TTC3",2,0.895999451722012,0.638684105503581,329
"MBOAT7",2,0.895741941726786,0.636824305829379,330
"NOTCH3",2,0.895512283335042,0.63587753242874,331
"EIF3L",2,0.894732680405435,0.593042964686257,332
"TMED10",2,0.894578825817749,0.602057750708354,333
"CRABP2",2,0.893975659759527,0.657286202772105,334
"PRPF40A",2,0.893935116576398,0.650987738931001,335
"LMAN1",2,0.893758903583284,0.625576467690642,336
"RPS7",2,0.893469166989237,0.640676342181506,337
"MYC",2,0.893374845009194,0.607039243991164,338
"POLR2F",2,0.892990813956942,0.609342939446241,339
"COMMD6",2,0.891666701848441,0.598642951322056,340
"S100A1",2,0.890891528287166,0.618233300094893,341
"TMED2",2,0.890861256043937,0.594061084255157,342
"PCBP2",2,0.889684211222565,0.608150813572609,343
