ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Temporal_Cluster,Database
R-HSA-2644603,Signaling by NOTCH1 in Cancer,9/373,58/10039,0.15517241379310345,4.176342793750578,4.765505234251328,2.600069885021771e-4,0.0014486103645121296,9.505051951985212e-4,APH1A/RPS27A/HDAC2/HEY1/MYC/UBB/UBA52/PSENEN/RBX1,9,2,Reactome
R-HSA-2644606,Constitutive Signaling by NOTCH1 PEST Domain Mutants,9/373,58/10039,0.15517241379310345,4.176342793750578,4.765505234251328,2.600069885021771e-4,0.0014486103645121296,9.505051951985212e-4,APH1A/RPS27A/HDAC2/HEY1/MYC/UBB/UBA52/PSENEN/RBX1,9,2,Reactome
R-HSA-2894858,Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer,9/373,58/10039,0.15517241379310345,4.176342793750578,4.765505234251328,2.600069885021771e-4,0.0014486103645121296,9.505051951985212e-4,APH1A/RPS27A/HDAC2/HEY1/MYC/UBB/UBA52/PSENEN/RBX1,9,2,Reactome
R-HSA-2894862,Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants,9/373,58/10039,0.15517241379310345,4.176342793750578,4.765505234251328,2.600069885021771e-4,0.0014486103645121296,9.505051951985212e-4,APH1A/RPS27A/HDAC2/HEY1/MYC/UBB/UBA52/PSENEN/RBX1,9,2,Reactome
R-HSA-5668541,TNFR2 non-canonical NF-kB pathway,11/373,85/10039,0.12941176470588237,3.483015297271724,4.515903531523268,2.9023629268972514e-4,0.0016091041521180348,0.0010558131390415698,PSMB2/PSMA5/PSMB4/RPS27A/PSMD2/PSMB1/PSMB5/PSMA3/UBB/UBA52/PSMC4,11,2,Reactome
R-HSA-5655862,Translesion synthesis by POLK,5/373,17/10039,0.29411764705882354,7.915943857435736,5.606003140823621,2.9469749700416733e-4,0.001617975092775307,0.0010616338037196624,RPS27A/RFC4/UBB/PCNA/UBA52,5,2,Reactome
R-HSA-5656121,Translesion synthesis by POLI,5/373,17/10039,0.29411764705882354,7.915943857435736,5.606003140823621,2.9469749700416733e-4,0.001617975092775307,0.0010616338037196624,RPS27A/RFC4/UBB/PCNA/UBA52,5,2,Reactome
R-HSA-8878171,Transcriptional regulation by RUNX1,16/373,161/10039,0.09937888198757763,2.6747040114565466,4.207955165333804,3.154029928120231e-4,0.0017232888157990248,0.001130735367060647,PSMB2/PSMA5/PSMB4/DPY30/RPS27A/ACTL6A/PSMD2/CCNH/CSNK2B/PSMB1/CCND1/PSMB5/PSMA3/UBB/UBA52/PSMC4,16,2,Reactome
R-HSA-9020702,Interleukin-1 signaling,12/373,101/10039,0.1188118811881188,3.19772781567701,4.360534347675764,3.4973456197246995e-4,0.0019016816807253055,0.0012477877843653405,PSMB2/PSMA5/PSMB4/RPS27A/PSMD2/PSMB1/PSMB5/PSMA3/UBB/UBA52/PSMC4/RBX1,12,2,Reactome
R-HSA-9927426,Developmental Lineage of Mammary Gland Alveolar Cells,5/373,18/10039,0.2777777777777778,7.476169198689306,5.401986872000217,3.956989248879982e-4,0.0021311213526110763,0.0013983345465966854,EPCAM/KIT/KRT8/KRT19/SLPI,5,2,Reactome
R-HSA-9927432,Developmental Lineage of Mammary Gland Myoepithelial Cells,5/373,18/10039,0.2777777777777778,7.476169198689306,5.401986872000217,3.956989248879982e-4,0.0021311213526110763,0.0013983345465966854,EPCAM/ALDH1A1/VIM/KRT5/KRT14,5,2,Reactome
R-HSA-9012852,Signaling by NOTCH3,8/373,49/10039,0.16326530612244897,4.394156590250041,4.678447785188225,3.9953384166985044e-4,0.002141577132363037,0.001405195102904687,YBX1/APH1A/RPS27A/HEY1/UBB/NOTCH3/UBA52/PSENEN,8,2,Reactome
R-HSA-6781827,Transcription-Coupled Nucleotide Excision Repair (TC-NER),10/373,76/10039,0.13157894736842105,3.541343304642303,4.368473284171267,4.755932682581668e-4,0.0025372452188678614,0.0016648125825323116,RPS27A/POLE4/POLR2H/RFC4/CCNH/UBB/PCNA/UBA52/POLR2F/RBX1,10,2,Reactome
R-HSA-9664873,Pexophagy,4/373,11/10039,0.36363636363636365,9.786985132829637,5.7277451691838035,5.028031920707326e-4,0.0026573383655700868,0.001743611659664862,RPS27A/MAP1LC3B/UBB/UBA52,4,2,Reactome
R-HSA-9708530,Regulation of BACH1 activity,4/373,11/10039,0.36363636363636365,9.786985132829637,5.7277451691838035,5.028031920707326e-4,0.0026573383655700868,0.001743611659664862,RPS27A/UBB/UBA52/RBX1,4,2,Reactome
R-HSA-72163,mRNA Splicing - Major Pathway,18/373,202/10039,0.0891089108910891,2.398295861757757,3.9436470337505867,5.201836660559278e-4,0.002726909633116082,0.0017892608230693264,YBX1/MAGOH/SF3B6/PRPF40A/POLR2H/NCBP2/SF3B5/PUF60/SF3B2/RBM17/PCBP2/HNRNPA1/SRSF9/SAP18/LSM4/RBM42/PRPF31/POLR2F,18,2,Reactome
R-HSA-110320,Translesion Synthesis by POLH,5/373,19/10039,0.2631578947368421,7.082686609284606,5.213063286783434,5.207891076508168e-4,0.002726909633116082,0.0017892608230693264,RPS27A/RFC4/UBB/PCNA/UBA52,5,2,Reactome
R-HSA-1592230,Mitochondrial biogenesis,11/373,91/10039,0.12087912087912088,3.2533659370120493,4.241692185142032,5.277391790614745e-4,0.0027379495941216862,0.0017965046897070957,ATP5PB/ATP5MC3/MTX2/ATP5MG/ATP5F1C/TFAM/ATP5F1B/IDH2/ATP5PD/ATP5PF/ATP5PO,11,2,Reactome
R-HSA-391251,Protein folding,11/373,91/10039,0.12087912087912088,3.2533659370120493,4.241692185142032,5.277391790614745e-4,0.0027379495941216862,0.0017965046897070957,CCT4/CCT5/TBCA/CSNK2B/TCP1/TUBA1B/TUBA1C/CCT2/PFDN4/TBCB/CCT8,11,2,Reactome
R-HSA-5357801,Programmed Cell Death,14/373,137/10039,0.10218978102189781,2.7503571358681826,4.052099567158329,5.579787875434452e-4,0.002881616478135326,0.0018907716665134764,PSMB2/PSMA5/PSMB4/YWHAQ/RPS27A/PSMD2/PSMB1/CDKN2A/VIM/PSMB5/PSMA3/UBB/UBA52/PSMC4,14,2,Reactome
R-HSA-9646399,Aggrephagy,7/373,40/10039,0.175,4.7099865951742625,4.618263071012247,5.964196211605941e-4,0.0030551808001018153,0.0020046558370066356,RPS27A/HSF1/VIM/TUBA1B/TUBA1C/UBB/UBA52,7,2,Reactome
R-HSA-9612973,Autophagy,15/373,154/10039,0.09740259740259741,2.6215138748650815,3.983339371908188,5.969893517440329e-4,0.0030551808001018153,0.0020046558370066356,LAMTOR5/LAMTOR2/RPS27A/CSNK2B/EEF1A1/HSF1/RRAGA/VIM/VDAC2/TUBA1B/TUBA1C/ATG101/MAP1LC3B/UBB/UBA52,15,2,Reactome
R-HSA-1632852,Macroautophagy,14/373,139/10039,0.10071942446043165,2.710783651898856,3.9896932918365726,6.457496756707283e-4,0.003289832807133305,0.00215862267116104,LAMTOR5/LAMTOR2/RPS27A/CSNK2B/HSF1/RRAGA/VIM/VDAC2/TUBA1B/TUBA1C/ATG101/MAP1LC3B/UBB/UBA52,14,2,Reactome
