"Gene","Cluster","Silhouette_Width"
"SELENOF",2,0.666465297211317
"EBLN3P",2,0.66601369191228
"ATP6V1G1",2,0.665938850879677
"MGST3",2,0.665631856821474
"SDC1",2,0.665529963754534
"SUMO3",2,0.665441178208192
"ERG28",2,0.66530968782017
"MRPL14",2,0.665241804241729
"ACTR1B",2,0.665239064976012
"LSM4",2,0.665041226503161
"MAGEF1",2,0.665026943217906
"SAP18",2,0.664832768338693
"PRPF31",2,0.664310402964899
"APH1A",2,0.663856407955062
"C6orf48",2,0.663292221721167
"GNL2",2,0.663208968196716
"SPINT2",2,0.661822923006901
"NQO1",2,0.66135938846373
"FAM178B",2,0.660387341196386
"DNASE2",2,0.660344070286595
"ODC1",2,0.660180609462405
"LAPTM4A",2,0.659860489324462
"SRSF9",2,0.659670982278806
"MDFI",2,0.658717026415065
"PERP",2,0.658645333421297
"KRT8",2,0.65836658493037
"SLC3A2",2,0.658307493387691
"PDIA6",2,0.658273963034798
"TBCA",2,0.65778357870512
"TTYH1",2,0.657644238189721
"CRABP2",2,0.657286202772105
"WDR83OS",2,0.657264774822604
"PUF60",2,0.656854313463752
"RFXANK",2,0.656631602851006
"FADS2",2,0.655569514660183
"OAT",2,0.655469209512698
"ARPC3",2,0.654103805666861
"PCNA",2,0.652858042778933
"MLF2",2,0.652453392616157
"CRABP1",2,0.652402448986725
"FDPS",2,0.65216691578625
"SIX1",2,0.652022654268934
"LMO4",2,0.651946259515675
"PGAM1",2,0.651927246371988
"GORASP2",2,0.651648081685277
"NR1H2",2,0.651569481734857
"EI24",2,0.65130839979471
"PRPF40A",2,0.650987738931001
"MORF4L2",2,0.650754928509441
"TUBA1B",2,0.650720609658288
"ECH1",2,0.650487552077802
"RBM42",2,0.649742142558803
"TMEM123",2,0.649675712351816
"LARP6",2,0.649335958005863
"MRPL47",2,0.649237489659382
"TEAD2",2,0.649098928950967
"PRDX1",2,0.649036415709463
"RASIP1",2,0.648937847636884
"NAP1L1",2,0.648800431730163
"CDKN2A",2,0.648710471247073
"PARP1",2,0.648418271771814
"TMEM14C",2,0.648036119118277
"SH3BGR",2,0.647770530961929
"CD63",2,0.645929605634323
"MALL",2,0.645762121119431
"TMEM205",2,0.645153566509396
"ERGIC3",2,0.644927208311185
"THYN1",2,0.64489455029887
"CNPY2",2,0.643914760131744
"TFPT",2,0.64377303511573
"SSR1",2,0.643207020621885
"ATP5MG",2,0.643061104403781
"HNRNPH3",2,0.642703414810479
"LMCD1",2,0.64215283934694
"CD9",2,0.642095253237715
"SMCO4",2,0.641399848769903
