"Gene","Cluster","Centroid_Pearson_Correlation","Silhouette_Width","Rank_Within_Cluster","Peak_Bin","Peak_Z_Score","Trough_Bin","Trough_Z_Score","Early_Mean","Late_Mean","Early_Late_Difference","Overall_Slope","Temporal_Pattern"
"GHITM",2,0.9806821533566,0.710085178948461,16,20,1.56311029080728,6,-1.65119441954347,-0.885886606080659,1.28168551436888,2.16757212044954,0.144603831952634,"Late_Increasing"
"ARL6IP6",2,0.980555487087355,0.720515351198644,17,20,1.68515419179373,6,-1.6201252185766,-1.13434072120666,1.11721615183588,2.25155687304254,0.153192470022342,"Late_Increasing"
"SRP19",2,0.980130211620491,0.718173772114719,18,19,1.30742776918127,5,-1.81975560636645,-1.00936661248721,1.06833704387795,2.07770365636516,0.145817976215467,"Late_Increasing"
"SOD1",2,0.979908908228897,0.725374761923121,19,20,1.27753967500138,5,-1.46674887709148,-1.10545391249412,1.09424084119231,2.19969475368643,0.143983580874598,"Late_Increasing"
"HINT2",2,0.979652589667215,0.720821735519807,20,20,1.59716452725253,6,-1.64417271162923,-1.04915722201539,1.08575433687068,2.13491155888607,0.144299567621721,"Late_Increasing"
"EIF3H",2,0.97930987999575,0.720756648078994,21,19,1.03981435672669,6,-1.82344408935375,-1.13188454986523,0.947892719436856,2.07977726930209,0.145059301524154,"Late_Increasing"
"EXOSC4",2,0.979095113422127,0.709921247251659,22,19,1.53760755070759,6,-1.53662326001829,-0.969111572345575,1.20727376941084,2.17638534175642,0.150211177654303,"Late_Increasing"
"BABAM1",2,0.978385888610738,0.722766434456141,23,20,1.06629693203641,6,-1.66804627665297,-1.12627879721191,0.886190273947575,2.01246907115948,0.146743331389534,"Late_Increasing"
"SRP72",2,0.978217914583519,0.709505272851862,24,19,1.35024926932336,6,-1.68016186887286,-0.900793076440653,1.03000323611193,1.93079631255258,0.143291249585563,"Late_Increasing"
"ATP5F1C",2,0.978192803939768,0.724168867525541,25,19,1.13468887610363,6,-1.84253499019369,-1.13796758902784,0.955741378415289,2.09370896744313,0.14212239306944,"Late_Increasing"
"CBR3",2,0.977231289785019,0.718712847337462,26,20,1.63813236316225,6,-1.42971985288498,-1.20823692699408,1.18481110414819,2.39304803114227,0.154679327777438,"Late_Increasing"
"TMEM14A",2,0.977121121091542,0.713507343315238,27,20,1.50385985886451,6,-1.81842275151058,-0.943819178592451,1.04052029039115,1.9843394689836,0.138494532486561,"Late_Increasing"
"PDCD6",2,0.977108751028309,0.717846604387382,28,19,1.39783551291539,8,-1.31711427392746,-1.13507140810788,1.16044571538824,2.29551712349612,0.150153985172093,"Late_Increasing"
"RAD23A",2,0.97688719445626,0.722281804497367,29,20,1.21322659658376,5,-1.72056683523853,-1.13876451131606,0.906317576689963,2.04508208800603,0.146928962913978,"Late_Increasing"
"MRPL36",2,0.976820626521659,0.717531670802776,30,19,1.47211658282,6,-1.70710117677003,-1.10076214220323,1.17976093110774,2.28052307331097,0.14801379964317,"Late_Increasing"
"COPE",2,0.976803237933757,0.713775216848439,31,20,1.30480924875495,6,-1.65072127420638,-1.00962165831355,1.10680008614401,2.11642174445757,0.149946468236351,"Late_Increasing"
"GRHPR",2,0.976666655877916,0.712693369991778,32,19,1.30256508002303,6,-1.78040957757877,-1.0024084108675,0.973540686617039,1.97594909748454,0.139511930003756,"Late_Increasing"
"TBCB",2,0.976258093580517,0.709129212044294,33,19,1.40809925430424,6,-1.70563223659615,-0.96251118170468,1.12953543466572,2.0920466163704,0.140299956607853,"Late_Increasing"
"OCIAD2",2,0.975766798502501,0.719312556052407,34,19,1.14945207456256,3,-1.59114693206652,-1.08866733389545,0.911721529480597,2.00038886337604,0.144024655954785,"Late_Increasing"
"REXO2",2,0.975724473789174,0.717763016291053,35,19,1.27228908081312,5,-1.71300983587489,-1.10311660077044,1.11565018116306,2.2187667819335,0.15048179705371,"Late_Increasing"
"PSMA5",2,0.975388639983331,0.71640097684527,36,19,1.35549923338408,6,-1.84833239215007,-1.04903136261711,0.938372340198813,1.98740370281592,0.138360749822803,"Late_Increasing"
"ATG101",2,0.975309262785073,0.702643883692769,37,20,1.62144714344972,6,-1.85380816515937,-0.929032537387006,1.28437308035781,2.21340561774482,0.148652314611514,"Late_Increasing"
"SLC9A3R1",2,0.975291311927231,0.722124607869608,38,19,1.14335473755497,5,-1.67433618924107,-1.13493558803748,0.947869150116477,2.08280473815396,0.141516457577328,"Late_Increasing"
"EBPL",2,0.975125441459247,0.700163956954407,39,19,1.42604487590133,6,-1.8663692698482,-0.793010683744137,1.06513678544733,1.85814746919147,0.136567613193269,"Late_Increasing"
"MRPS6",2,0.974652119120544,0.714650924301957,40,19,1.27521907279359,6,-1.6370161965216,-0.979479367720407,1.00121245039871,1.98069181811912,0.135954341302271,"Late_Increasing"
"RAB10",2,0.973952509641989,0.720801223739848,41,19,1.16385973409379,5,-1.67008227989938,-1.17167582424991,0.96719901266599,2.1388748369159,0.142541605103097,"Late_Increasing"
"ACP1",2,0.973267878857718,0.718687319413555,42,17,0.973090939979864,6,-1.76067620915755,-1.22906109746818,0.946043590484078,2.17510468795226,0.145154252087585,"Late_Increasing"
"NDUFB5",2,0.972074247097742,0.722567528873049,43,10,0.950878287489364,6,-1.57532080836865,-1.22957157466775,0.794798067151845,2.02436964181959,0.141523473498512,"Early_Low_Late_Increasing"
"TRAPPC4",2,0.971707384856322,0.717496843695598,44,19,1.30232258045503,5,-1.5434430466844,-1.14745099098758,1.02136631947132,2.1688173104589,0.144915960785758,"Late_Increasing"
"PPA1",2,0.971191148029911,0.708136240344961,45,19,1.38663862277929,4,-1.52970002061674,-1.07217525653192,1.08224634089355,2.15442159742547,0.143116401397472,"Late_Increasing"
"MRPS16",2,0.970591670710434,0.702273631129638,46,20,1.37852561186255,6,-1.98310376047047,-0.883280614086145,0.927382582003907,1.81066319609005,0.136542363222557,"Late_Increasing"
"PSMB5",2,0.970562521488721,0.702905088068556,47,20,1.18685824620031,6,-1.74857129564869,-0.937203781822506,0.943518824817059,1.88072260663957,0.139256841084895,"Late_Increasing"
"ATP5PF",2,0.970426574624775,0.706628107547144,48,20,1.19180092099896,7,-1.74168785708885,-0.922597780320049,1.00940560205676,1.93200338237681,0.135833192135822,"Late_Increasing"
"SEC61B",2,0.970311668447905,0.713774205372867,49,19,1.16382653577343,3,-1.45920444438644,-1.17917296398471,1.06684862798161,2.24602159196631,0.151494686161895,"Late_Increasing"
"NDUFA8",2,0.970199241024851,0.708573945627186,50,20,1.27801424403071,6,-1.85310091434709,-1.0281471433537,0.941762977101998,1.9699101204557,0.135372211575527,"Late_Increasing"
"KRT19",2,0.970127941910441,0.70728643874226,51,19,1.32146591316265,6,-1.61590414291108,-1.10533093187011,1.11266382063628,2.21799475250639,0.143602784102475,"Late_Increasing"
"ATP5PB",2,0.97004919132718,0.713565670302222,52,20,1.18304683019252,6,-1.50292435267833,-1.07114227595788,0.852475620001051,1.92361789595893,0.137594343572701,"Late_Increasing"
"STMP1",2,0.969917118523158,0.70488251155243,53,19,1.12254359819047,6,-1.91356577549497,-1.08421015625494,1.05184979349631,2.13605994975126,0.146543682639283,"Late_Increasing"
"DNAJC19",2,0.9690682382765,0.713468403691575,54,10,1.08358407613525,6,-1.57817486562234,-1.09277877031349,0.797249564728973,1.89002833504246,0.134918373243367,"Early_Low_Late_Increasing"
"SDHB",2,0.968674174321213,0.702935662018466,55,20,1.50821148620789,6,-1.75775482925835,-0.914723865093276,0.99550572690598,1.91022959199926,0.136595904848728,"Late_Increasing"
"C19orf53",2,0.968125620646521,0.698580633792173,56,20,0.957763451992554,6,-1.91868131496454,-0.861860294328421,0.893391186063232,1.75525148039165,0.139847984722925,"Late_Increasing"
"MTX2",2,0.967957159778408,0.699140934322188,57,20,1.68656058197098,6,-1.76049619937538,-0.935952064690041,1.27859549743274,2.21454756212278,0.142894387747711,"Late_Increasing"
"HSF1",2,0.96790918022479,0.693490271734087,58,20,1.37605958332629,6,-1.78994592864849,-0.887812111571565,1.12653635075681,2.01434846232837,0.140540009962011,"Late_Increasing"
"CBR1",2,0.967700938215033,0.707741376081089,59,19,1.36368341424858,6,-1.68889394258552,-1.11918041906416,1.09475463582299,2.21393505488715,0.145633044098086,"Late_Increasing"
"C1orf43",2,0.967677797010842,0.697860767829986,60,20,1.24720495043408,6,-1.9554718870773,-0.815418238197015,0.945586092866196,1.76100433106321,0.132687032407721,"Late_Increasing"
"EPCAM",2,0.967604576737263,0.713326307071804,61,10,1.13911067988457,3,-1.68089952336816,-1.17787868421608,0.882856759402619,2.0607354436187,0.140963920198075,"Early_Low_Late_Increasing"
"EIF2D",2,0.967538729958769,0.706362550107495,62,10,1.05019664127253,6,-1.61431476391721,-1.0902196775413,0.853692042497663,1.94391172003897,0.13861485436469,"Early_Low_Late_Increasing"
"ELOF1",2,0.967501476422663,0.705409217534378,63,19,1.59516934039408,3,-1.39038386453019,-1.11767348989922,1.27378448055758,2.3914579704568,0.14931716074032,"Late_Increasing"
"SSB",2,0.967130177354432,0.71085988933295,64,19,1.41456621430663,3,-1.33487321931388,-1.13702514439269,0.966911698494412,2.1039368428871,0.142958754666365,"Late_Increasing"
"AP2M1",2,0.967017676025692,0.711438100091041,65,10,1.07037265041127,6,-1.99428990763484,-1.13147406232649,0.874009703576273,2.00548376590276,0.137617018384144,"Early_Low_Late_Increasing"
"NUDT5",2,0.96667633722838,0.717571420141423,66,20,1.27106069487367,6,-1.45391945007457,-1.28980725313126,1.00436000016303,2.29416725329429,0.147421258697428,"Late_Increasing"
"FKBP8",2,0.966675647574228,0.685531645640735,67,20,1.32983905538028,6,-2.07277347503464,-0.702761769413031,1.13216706051463,1.83492882992766,0.138947350985832,"Late_Increasing"
"RAD23B",2,0.966403440225359,0.696263946508118,68,19,1.56212493811986,6,-1.43914787550773,-0.905389150484518,1.13640878557532,2.04179793605984,0.139899183479227,"Late_Increasing"
"ABRACL",2,0.966022237224696,0.715540846262631,69,19,1.27098239044611,3,-1.68508786951993,-1.25939849733914,1.06587320689278,2.32527170423191,0.149880618118662,"Late_Increasing"
"GADD45GIP1",2,0.965787459609157,0.700132055525041,70,19,1.09254241282967,6,-2.30461368462656,-0.921982680021757,0.881305375416522,1.80328805543828,0.135524672937726,"Late_Increasing"
"MAF1",2,0.965708475480822,0.695362535011257,71,20,1.46849175899848,7,-1.45465078304024,-0.904209396649537,1.12922045365768,2.03342985030722,0.138445313000683,"Late_Increasing"
"SDHC",2,0.965594950491456,0.713620735287137,72,20,1.1699687622205,3,-1.72105166426247,-1.2476042277775,0.952640070552513,2.20024429833001,0.14721627675216,"Late_Increasing"
"GPAA1",2,0.965507343110621,0.697668092701541,73,20,1.56203631093743,8,-1.35306822543599,-1.02827508457393,1.16853625095354,2.19681133552746,0.151679772296729,"Late_Increasing"
"TSFM",2,0.965356569962615,0.701846913590124,74,20,1.27760351860444,6,-1.47926138784555,-1.01412312938777,0.859956956563045,1.87408008595082,0.139958722741925,"Late_Increasing"
"SSR3",2,0.965261025669032,0.685648223424509,75,17,1.20459878153374,6,-2.01113873713343,-0.799830628881071,1.02228513935233,1.82211576823341,0.142614613989898,"Late_Increasing"
"FIBP",2,0.965099722707417,0.692404300094672,76,20,1.50071480594658,6,-1.73690162578006,-0.836453045747514,1.06131000655604,1.89776305230356,0.131619528513058,"Late_Increasing"
"NDUFB3",2,0.965020859865258,0.704841556208191,77,20,1.17840734089504,6,-1.86744475447449,-1.01385858651741,0.837292680354592,1.851151266872,0.134218072417785,"Late_Increasing"
"COMT",2,0.964630799225451,0.707324765546156,78,10,1.13093527806949,5,-1.5622979734307,-1.08049173530535,0.778520695326601,1.85901243063195,0.133854362475644,"Early_Low_Late_Increasing"
"KIN",2,0.9644678433399,0.700572439685275,79,19,1.49887120467587,5,-1.66134371907767,-1.0869803569252,1.1622009979114,2.2491813548366,0.147688610679658,"Late_Increasing"
"PSMC4",2,0.964269684588063,0.709031381477844,80,19,1.56445823527336,3,-1.49888834732609,-1.20982759340816,1.21759252382826,2.42742011723642,0.150866135006172,"Late_Increasing"
