"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Enrichment_Group"
"GO:0045745","positive regulation of G protein-coupled receptor signaling pathway",11,-0.493799968107572,-1.27788145047347,0.188383045525903,0.502373675258116,0.417589317546216,438,"tags=45%, list=7%, signal=42%","10419/1906/858/183/23516","TotalCell"
"GO:0032211","negative regulation of telomere maintenance via telomerase",11,-0.493122782682862,-1.27612899452236,0.189952904238619,0.502373675258116,0.417589317546216,693,"tags=36%, list=12%, signal=32%","26277/100134934/79991/65057","TotalCell"
"GO:0071870","cellular response to catecholamine stimulus",11,-0.493106774326021,-1.27608756725711,0.189952904238619,0.502373675258116,0.417589317546216,1762,"tags=64%, list=30%, signal=45%","25942/409/10419/2316/207/10681/858","TotalCell"
"GO:0045429","positive regulation of nitric oxide biosynthetic process",20,-0.419160861065787,-1.27566157590051,0.188679245283019,0.502373675258116,0.417589317546216,1147,"tags=35%, list=20%, signal=28%","4775/148022/207/1906/435/6648/7124","TotalCell"
"GO:0072576","liver morphogenesis",13,-0.472675245213613,-1.27196857628692,0.188473520249221,0.502373675258116,0.417589317546216,451,"tags=31%, list=8%, signal=28%","3988/634/1051/7124","TotalCell"
"GO:0097061","dendritic spine organization",22,-0.411935366198453,-1.27117161700156,0.189855072463768,0.502373675258116,0.417589317546216,826,"tags=32%, list=14%, signal=27%","3480/10458/5621/998/2017/1942/5728","TotalCell"
"GO:0043255","regulation of carbohydrate biosynthetic process",31,-0.374618519171253,-1.25169490694124,0.188202247191011,0.502373675258116,0.417589317546216,1221,"tags=35%, list=21%, signal=28%","8473/4790/51547/207/8660/283871/2908/10776/55829/51422/4837","TotalCell"
"GO:0006195","purine nucleotide catabolic process",52,-0.334299211764562,-1.24711504349613,0.189856957087126,0.502373675258116,0.417589317546216,1221,"tags=33%, list=21%, signal=26%","8473/30833/23786/64223/55270/22978/3099/83440/221937/5315/26471/3988/339123/4967/51422/2026/54541","TotalCell"
"GO:0006303","double-strand break repair via nonhomologous end joining",31,0.311431514478229,1.234601598085,0.189655172413793,0.502373675258116,0.417589317546216,1265,"tags=42%, list=22%, signal=33%","91419/84787/472/6419/7518/375748/54799/7520/165918/286257/1859/55183/7155","BRCA1_tumour"
"GO:0009566","fertilization",49,-0.33451901192631,-1.23218438716795,0.189655172413793,0.502373675258116,0.417589317546216,963,"tags=31%, list=16%, signal=26%","10426/11057/7784/55585/2683/25932/152015/598/8531/4627/54742/8459/246777/7026/4240","TotalCell"
"GO:0009134","nucleoside diphosphate catabolic process",43,-0.342824470176014,-1.22585943916973,0.188010899182561,0.502373675258116,0.417589317546216,1221,"tags=65%, list=21%, signal=52%","3643/402/226/5663/5223/5230/3607/7351/3692/7167/3098/8870/3939/5515/8473/23786/64223/3099/83440/221937/5315/26471/3988/339123/4967/51422/2026/54541","TotalCell"
"GO:0009191","ribonucleoside diphosphate catabolic process",43,-0.342824470176014,-1.22585943916973,0.188010899182561,0.502373675258116,0.417589317546216,1221,"tags=65%, list=21%, signal=52%","3643/402/226/5663/5223/5230/3607/7351/3692/7167/3098/8870/3939/5515/8473/23786/64223/3099/83440/221937/5315/26471/3988/339123/4967/51422/2026/54541","TotalCell"
"GO:0051897","positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction",55,-0.325973672008963,-1.22473509546784,0.189364461738003,0.502373675258116,0.417589317546216,1339,"tags=35%, list=23%, signal=27%","253260/7422/6788/3092/64223/1956/3480/8660/4915/7423/998/1839/183/1116/5879/7124/5627/2260/2621","TotalCell"
