"Gene","Bin","Z_Score","Bin_Number","Pseudotime_Bin_Center","Cluster","Silhouette_Width"
"CALML5","Bin_12",1.10919996995327,12,14.9396565105559,2,0.585127715531442
"CALML5","Bin_13",0.681869717179932,13,16.2387570766912,2,0.585127715531442
"CALML5","Bin_14",0.631581967818885,14,17.5378576428265,2,0.585127715531442
"CALML5","Bin_15",0.863171865990178,15,18.8369582089617,2,0.585127715531442
"CALML5","Bin_16",0.666843203850192,16,20.136058775097,2,0.585127715531442
"CALML5","Bin_17",0.410395124905519,17,21.4351593412323,2,0.585127715531442
"CALML5","Bin_18",0.777002074968975,18,22.7342599073676,2,0.585127715531442
"CALML5","Bin_19",0.419682540325838,19,24.0333604735029,2,0.585127715531442
"CALML5","Bin_20",-0.0461816698239157,20,25.3324610396382,2,0.585127715531442
"DYNLT1","Bin_1",-0.338887578646135,1,0.649550283067647,2,0.708354042054992
"DYNLT1","Bin_2",-1.36560737645676,2,1.94865084920294,2,0.708354042054992
"DYNLT1","Bin_3",-1.51790357837847,3,3.24775141533823,2,0.708354042054992
"DYNLT1","Bin_4",-1.10714075937105,4,4.54685198147353,2,0.708354042054992
"DYNLT1","Bin_5",-1.4946026155494,5,5.84595254760882,2,0.708354042054992
"DYNLT1","Bin_6",-1.33776210758224,6,7.14505311374411,2,0.708354042054992
"DYNLT1","Bin_7",-1.40708602999653,7,8.4441536798794,2,0.708354042054992
"DYNLT1","Bin_8",-0.234800054917406,8,9.7432542460147,2,0.708354042054992
"DYNLT1","Bin_9",0.809673255231146,9,11.04235481215,2,0.708354042054992
"DYNLT1","Bin_10",1.09579319230734,10,12.3414553782853,2,0.708354042054992
"DYNLT1","Bin_11",0.878976132749124,11,13.6405559444206,2,0.708354042054992
"DYNLT1","Bin_12",0.703838503727051,12,14.9396565105559,2,0.708354042054992
"DYNLT1","Bin_13",0.446492496518065,13,16.2387570766912,2,0.708354042054992
"DYNLT1","Bin_14",0.147616720231757,14,17.5378576428265,2,0.708354042054992
"DYNLT1","Bin_15",0.395190877183263,15,18.8369582089617,2,0.708354042054992
"DYNLT1","Bin_16",0.543443914034089,16,20.136058775097,2,0.708354042054992
"DYNLT1","Bin_17",0.756696990886998,17,21.4351593412323,2,0.708354042054992
"DYNLT1","Bin_18",0.928573847026028,18,22.7342599073676,2,0.708354042054992
"DYNLT1","Bin_19",1.06387988172453,19,24.0333604735029,2,0.708354042054992
"DYNLT1","Bin_20",1.03361428927859,20,25.3324610396382,2,0.708354042054992
"TF","Bin_1",-0.34527547459669,1,0.649550283067647,2,0.36328861171229
"TF","Bin_2",-0.430449225458486,2,1.94865084920294,2,0.36328861171229
"TF","Bin_3",-0.523335150867113,3,3.24775141533823,2,0.36328861171229
"TF","Bin_4",-0.700339858599833,4,4.54685198147353,2,0.36328861171229
"TF","Bin_5",-0.568548604859735,5,5.84595254760882,2,0.36328861171229
"TF","Bin_6",-0.732045169303342,6,7.14505311374411,2,0.36328861171229
"TF","Bin_7",0.121846306416181,7,8.4441536798794,2,0.36328861171229
"TF","Bin_8",-0.732045169303342,8,9.7432542460147,2,0.36328861171229
"TF","Bin_9",-0.636861343796895,9,11.04235481215,2,0.36328861171229
"TF","Bin_10",-0.421118357224657,10,12.3414553782853,2,0.36328861171229
"TF","Bin_11",-0.449298351820023,11,13.6405559444206,2,0.36328861171229
"TF","Bin_12",-0.491173876980499,12,14.9396565105559,2,0.36328861171229
"TF","Bin_13",-0.594823898166246,13,16.2387570766912,2,0.36328861171229
"TF","Bin_14",-0.615335150690001,14,17.5378576428265,2,0.36328861171229
"TF","Bin_15",-0.119575724677277,15,18.8369582089617,2,0.36328861171229
"TF","Bin_16",0.0588522353442323,16,20.136058775097,2,0.36328861171229
"TF","Bin_17",2.84485509488516,17,21.4351593412323,2,0.36328861171229
"TF","Bin_18",1.8775210255818,18,22.7342599073676,2,0.36328861171229
"TF","Bin_19",1.46086756643345,19,24.0333604735029,2,0.36328861171229
"TF","Bin_20",0.996283127683315,20,25.3324610396382,2,0.36328861171229
"UQCRH","Bin_1",-1.51596404879702,1,0.649550283067647,2,0.634234258632747
"UQCRH","Bin_2",-1.58531992700075,2,1.94865084920294,2,0.634234258632747
"UQCRH","Bin_3",-1.65677842095284,3,3.24775141533823,2,0.634234258632747
"UQCRH","Bin_4",-0.392775258210644,4,4.54685198147353,2,0.634234258632747
"UQCRH","Bin_5",-0.661624896318973,5,5.84595254760882,2,0.634234258632747
"UQCRH","Bin_6",-2.03528582651805,6,7.14505311374411,2,0.634234258632747
"UQCRH","Bin_7",-0.76858323657636,7,8.4441536798794,2,0.634234258632747
"UQCRH","Bin_8",0.20044518904528,8,9.7432542460147,2,0.634234258632747
"UQCRH","Bin_9",0.930415251105425,9,11.04235481215,2,0.634234258632747
"UQCRH","Bin_10",0.828816193489905,10,12.3414553782853,2,0.634234258632747
"UQCRH","Bin_11",0.647993482827195,11,13.6405559444206,2,0.634234258632747
"UQCRH","Bin_12",0.81738980062887,12,14.9396565105559,2,0.634234258632747
"UQCRH","Bin_13",0.761602461483105,13,16.2387570766912,2,0.634234258632747
"UQCRH","Bin_14",0.672921689760091,14,17.5378576428265,2,0.634234258632747
"UQCRH","Bin_15",0.623160324228012,15,18.8369582089617,2,0.634234258632747
"UQCRH","Bin_16",0.531940985931577,16,20.136058775097,2,0.634234258632747
"UQCRH","Bin_17",0.492263967505519,17,21.4351593412323,2,0.634234258632747
"UQCRH","Bin_18",0.632603164458933,18,22.7342599073676,2,0.634234258632747
"UQCRH","Bin_19",0.720209681126837,19,24.0333604735029,2,0.634234258632747
"UQCRH","Bin_20",0.756569422783889,20,25.3324610396382,2,0.634234258632747
"UBXN4","Bin_1",-0.0337162204025346,1,0.649550283067647,2,0.63511944266506
"UBXN4","Bin_2",-0.506649258906678,2,1.94865084920294,2,0.63511944266506
"UBXN4","Bin_3",-0.925612405938611,3,3.24775141533823,2,0.63511944266506
"UBXN4","Bin_4",-0.751510934799014,4,4.54685198147353,2,0.63511944266506
"UBXN4","Bin_5",-1.61120091166926,5,5.84595254760882,2,0.63511944266506
"UBXN4","Bin_6",-1.73863307841229,6,7.14505311374411,2,0.63511944266506
"UBXN4","Bin_7",-1.37106523763048,7,8.4441536798794,2,0.63511944266506
"UBXN4","Bin_8",-1.00915358568101,8,9.7432542460147,2,0.63511944266506
"UBXN4","Bin_9",-0.252753929715638,9,11.04235481215,2,0.63511944266506
"UBXN4","Bin_10",0.1352401856095,10,12.3414553782853,2,0.63511944266506
"UBXN4","Bin_11",0.522424852659315,11,13.6405559444206,2,0.63511944266506
"UBXN4","Bin_12",0.214734912907882,12,14.9396565105559,2,0.63511944266506
"UBXN4","Bin_13",0.162722598532911,13,16.2387570766912,2,0.63511944266506
"UBXN4","Bin_14",0.501465916582189,14,17.5378576428265,2,0.63511944266506
"UBXN4","Bin_15",0.575604841782439,15,18.8369582089617,2,0.63511944266506
"UBXN4","Bin_16",0.745307519996485,16,20.136058775097,2,0.63511944266506
"UBXN4","Bin_17",1.07288103195046,17,21.4351593412323,2,0.63511944266506
"UBXN4","Bin_18",1.35692894794966,18,22.7342599073676,2,0.63511944266506
"UBXN4","Bin_19",1.42054554349942,19,24.0333604735029,2,0.63511944266506
"UBXN4","Bin_20",1.49243921168526,20,25.3324610396382,2,0.63511944266506
"LSR","Bin_1",-0.895409628067767,1,0.649550283067647,2,0.719829291397525
"LSR","Bin_2",-1.22746211613087,2,1.94865084920294,2,0.719829291397525
"LSR","Bin_3",-1.30150542819589,3,3.24775141533823,2,0.719829291397525
"LSR","Bin_4",-0.648884343142878,4,4.54685198147353,2,0.719829291397525
"LSR","Bin_5",-1.51883133622185,5,5.84595254760882,2,0.719829291397525
"LSR","Bin_6",-1.39353684225166,6,7.14505311374411,2,0.719829291397525
"LSR","Bin_7",-0.872099346384297,7,8.4441536798794,2,0.719829291397525
"LSR","Bin_8",-1.15572762016612,8,9.7432542460147,2,0.719829291397525
"LSR","Bin_9",0.270139877612183,9,11.04235481215,2,0.719829291397525
