"Gene","Cluster","Centroid_Pearson_Correlation","Silhouette_Width","Rank_Within_Cluster","Temporal_Cluster"
"PSMA5","2",0.975388639983331,0.71640097684527,36,"2"
"ATG101","2",0.975309262785073,0.702643883692769,37,"2"
"SLC9A3R1","2",0.975291311927231,0.722124607869608,38,"2"
"EBPL","2",0.975125441459247,0.700163956954407,39,"2"
"MRPS6","2",0.974652119120544,0.714650924301957,40,"2"
"RAB10","2",0.973952509641989,0.720801223739848,41,"2"
"ACP1","2",0.973267878857718,0.718687319413555,42,"2"
"NDUFB5","2",0.972074247097742,0.722567528873049,43,"2"
"TRAPPC4","2",0.971707384856322,0.717496843695598,44,"2"
"PPA1","2",0.971191148029911,0.708136240344961,45,"2"
"MRPS16","2",0.970591670710434,0.702273631129638,46,"2"
"PSMB5","2",0.970562521488721,0.702905088068556,47,"2"
"ATP5PF","2",0.970426574624775,0.706628107547144,48,"2"
"SEC61B","2",0.970311668447905,0.713774205372867,49,"2"
"NDUFA8","2",0.970199241024851,0.708573945627186,50,"2"
"KRT19","2",0.970127941910441,0.70728643874226,51,"2"
"ATP5PB","2",0.97004919132718,0.713565670302222,52,"2"
"STMP1","2",0.969917118523158,0.70488251155243,53,"2"
"DNAJC19","2",0.9690682382765,0.713468403691575,54,"2"
"SDHB","2",0.968674174321213,0.702935662018466,55,"2"
"C19orf53","2",0.968125620646521,0.698580633792173,56,"2"
"MTX2","2",0.967957159778408,0.699140934322188,57,"2"
"HSF1","2",0.96790918022479,0.693490271734087,58,"2"
"CBR1","2",0.967700938215033,0.707741376081089,59,"2"
"C1orf43","2",0.967677797010842,0.697860767829986,60,"2"
"EPCAM","2",0.967604576737263,0.713326307071804,61,"2"
"EIF2D","2",0.967538729958769,0.706362550107495,62,"2"
"ELOF1","2",0.967501476422663,0.705409217534378,63,"2"
"SSB","2",0.967130177354432,0.71085988933295,64,"2"
"AP2M1","2",0.967017676025692,0.711438100091041,65,"2"
"NUDT5","2",0.96667633722838,0.717571420141423,66,"2"
"FKBP8","2",0.966675647574228,0.685531645640735,67,"2"
"RAD23B","2",0.966403440225359,0.696263946508118,68,"2"
"ABRACL","2",0.966022237224696,0.715540846262631,69,"2"
"GADD45GIP1","2",0.965787459609157,0.700132055525041,70,"2"
"MAF1","2",0.965708475480822,0.695362535011257,71,"2"
"SDHC","2",0.965594950491456,0.713620735287137,72,"2"
"GPAA1","2",0.965507343110621,0.697668092701541,73,"2"
"TSFM","2",0.965356569962615,0.701846913590124,74,"2"
"SSR3","2",0.965261025669032,0.685648223424509,75,"2"
"FIBP","2",0.965099722707417,0.692404300094672,76,"2"
"NDUFB3","2",0.965020859865258,0.704841556208191,77,"2"
"COMT","2",0.964630799225451,0.707324765546156,78,"2"
"KIN","2",0.9644678433399,0.700572439685275,79,"2"
"PSMC4","2",0.964269684588063,0.709031381477844,80,"2"
"ATRAID","2",0.963895948622671,0.691165083521414,81,"2"
"DNAJB11","2",0.963734222249265,0.695985601600143,82,"2"
"TECR","2",0.963559976277515,0.699607238003048,83,"2"
"DYNLT1","2",0.963237709628235,0.708354042054992,84,"2"
"CUTA","2",0.962754106743741,0.698903583579536,85,"2"
"PFDN4","2",0.962744604264464,0.701629261068141,86,"2"
"HSPB11","2",0.962589778438039,0.699106250610398,87,"2"
"CBX5","2",0.96235736440966,0.705377747571669,88,"2"
"PSMB1","2",0.961944785270182,0.701459336628738,89,"2"
"RER1","2",0.961618904720186,0.688473590948547,90,"2"
"CSNK2B","2",0.961251160714518,0.686831107010606,91,"2"
"MRPS14","2",0.961234379330924,0.697652760578971,92,"2"
"MRPS33","2",0.960959780745222,0.681905852914083,93,"2"
"PPIC","2",0.960942510301357,0.690559814888334,94,"2"
"MAP3K13","2",0.960718660772863,0.691956612203714,95,"2"
"NOP10","2",0.960248961550848,0.689544283776438,96,"2"
"RPN2","2",0.959935939145077,0.681850261160471,97,"2"
"HADHB","2",0.959428584049821,0.682212360628902,98,"2"
"YEATS4","2",0.959379585486041,0.692701894608423,99,"2"
"PARL","2",0.959242489987483,0.695385173710032,100,"2"
"PIH1D1","2",0.959166182939685,0.707477259201228,101,"2"
"NDUFB7","2",0.959135203997158,0.6895538931235,102,"2"
"TFG","2",0.958871611958795,0.704408731474618,103,"2"
"SFT2D1","2",0.958795652055343,0.678082495066888,104,"2"
"CCT4","2",0.95873045363156,0.698381928129857,105,"2"
"SF3B5","2",0.958336929593015,0.684255490796421,106,"2"
"ANP32B","2",0.958315219579547,0.695961858542626,107,"2"
"TMEM14B","2",0.958309481323132,0.694329388699394,108,"2"
"OST4","2",0.958146095863966,0.689702049634953,109,"2"
"TMEM134","2",0.958113664248982,0.673559794975203,110,"2"
"CYC1","2",0.957963597067434,0.710736713785972,111,"2"
"ASNA1","2",0.957426163867202,0.679056764475511,112,"2"
"ADI1","2",0.957291108610396,0.691177010777905,113,"2"
"TSTA3","2",0.957200190138314,0.688365377781578,114,"2"
"VPS72","2",0.957144001688506,0.705576504062235,115,"2"
"PSMA3","2",0.957054041593159,0.688641813632585,116,"2"
"CCT2","2",0.956728529229259,0.687473402111582,117,"2"
"TCP1","2",0.956485996894198,0.69502100666348,118,"2"
"HMGA1","2",0.956481785557361,0.695370196922125,119,"2"
"MRPL9","2",0.956437988137082,0.700864212875266,120,"2"
"IDH2","2",0.955965063382552,0.695858818287572,121,"2"
"HDAC2","2",0.955894897383967,0.699949532183835,122,"2"
"ATP5F1B","2",0.955549740309065,0.705218139763356,123,"2"
"UQCRFS1","2",0.955369882814365,0.686945459633437,124,"2"
"LSM10","2",0.95527987939963,0.685909272831582,125,"2"
"ILF2","2",0.955021978403673,0.689420655869957,126,"2"
"CDC123","2",0.954828525210042,0.700539016645491,127,"2"
"AHSA1","2",0.954813112347098,0.687026241673721,128,"2"
"SSR2","2",0.954601941942911,0.679525329995847,129,"2"
"STX10","2",0.954562135141838,0.699470773819987,130,"2"
"PTRHD1","2",0.954456250320305,0.677463266475627,131,"2"
"COMMD3","2",0.954223181505747,0.684480352711463,132,"2"
"HMGN1","2",0.953730454914346,0.693066369484072,133,"2"
"RPL22L1","2",0.953511991049045,0.684631392084074,134,"2"
"NDUFB9","2",0.9535007665841,0.687041708995353,135,"2"
"ERP44","2",0.953472452237501,0.671404296939115,136,"2"
"BRK1","2",0.952965815620668,0.692850913060548,137,"2"
"RAB1A","2",0.95291787559653,0.675044266087904,138,"2"
"SMAGP","2",0.952669216890862,0.698929585033345,139,"2"
"DPY30","2",0.95265875636069,0.685578150439326,140,"2"
"CFAP298","2",0.952644154499159,0.684359812729384,141,"2"
"PCMT1","2",0.952619323498116,0.682904971873039,142,"2"
"PSMB2","2",0.952095319841624,0.697115506861742,143,"2"
"TCTEX1D2","2",0.95206693781411,0.704916454758618,144,"2"
"SLC25A5","2",0.951955800451932,0.697987889740245,145,"2"
"CRIPT","2",0.951743779967566,0.667018490476099,146,"2"
"SELENOF","2",0.951634509239584,0.666465297211317,147,"2"
"TSPO","2",0.951601032756957,0.669828841749909,148,"2"
"MRPL34","2",0.951583171707257,0.673607951308774,149,"2"
"DGUOK","2",0.951549866655044,0.679412015383929,150,"2"
"SEC13","2",0.951294797356628,0.695251554387805,151,"2"
"SHKBP1","2",0.95108742825953,0.696071623680678,152,"2"
"EXOSC3","2",0.951059320735062,0.691309446578665,153,"2"
"UROD","2",0.950888619446302,0.688510743349012,154,"2"
"PSIP1","2",0.950443064255518,0.693436251855329,155,"2"
"ARL1","2",0.950318042524359,0.680701479394489,156,"2"
"SF3B6","2",0.950157610336695,0.700180991924983,157,"2"
"CDK4","2",0.949855433285527,0.699067022830909,158,"2"
"NDUFS2","2",0.949849514955061,0.680031439404581,159,"2"
"PSMB4","2",0.949619140946541,0.688860764415843,160,"2"
"ALDH16A1","2",0.949211692764984,0.684813368998446,161,"2"
"PLLP","2",0.948456605617463,0.684458556804169,162,"2"
"ATP6V1G1","2",0.948345182131396,0.665938850879677,163,"2"
"YBEY","2",0.947930430637223,0.682929631734393,164,"2"
"COX14","2",0.947757840416507,0.673257690507107,165,"2"
"CLIC1","2",0.947484713422999,0.675487795378979,166,"2"
"LAMTOR5","2",0.947328637949998,0.670818889195093,167,"2"
"UCHL3","2",0.946946616708743,0.679443106100249,168,"2"
"MPZL2","2",0.946769806167207,0.678793428547349,169,"2"
"MGST3","2",0.946024415842955,0.665631856821474,170,"2"
"ACTR1B","2",0.945697539949889,0.665239064976012,171,"2"
"FBL","2",0.945594796657581,0.677736720717442,172,"2"
"PAK4","2",0.945341829084141,0.692029939537663,173,"2"
"SYNCRIP","2",0.945267579113194,0.674502740377098,174,"2"
"DDAH2","2",0.945037664949273,0.667547605931314,175,"2"
"PCBD1","2",0.945011466449302,0.668257880504188,176,"2"
"PUF60","2",0.944819045505388,0.656854313463752,177,"2"
"CHCHD1","2",0.944804005068457,0.679883593276264,178,"2"
"FKBP10","2",0.944614319983796,0.674028957395487,179,"2"
"MRPL3","2",0.944601160605535,0.671390258830102,180,"2"
"ATP5MC3","2",0.944294825114886,0.681164988415725,181,"2"
"CFL1","2",0.944281382395457,0.681964265986137,182,"2"
"SAP18","2",0.943968770820424,0.664832768338693,183,"2"
"MEAF6","2",0.943833800300901,0.672981629984403,184,"2"
"MRPL58","2",0.943179698690663,0.690977870417284,185,"2"
"OAT","2",0.943080911827425,0.655469209512698,186,"2"
"CCT8","2",0.943067975491144,0.694658617958225,187,"2"
"MAGEF1","2",0.942760338155423,0.665026943217906,188,"2"
"EFNA4","2",0.942597171199389,0.675951752718625,189,"2"
"MED10","2",0.942553859035086,0.682096968554463,190,"2"
"FARSA","2",0.942476047157182,0.669479396891456,191,"2"
"SPINT2","2",0.942435185184,0.661822923006901,192,"2"
"PSENEN","2",0.942419134286561,0.670078634061277,193,"2"
"ISOC2","2",0.942143810321604,0.691546812803394,194,"2"
"LINC00623","2",0.942139653143392,0.671475386400543,195,"2"
"FXYD6","2",0.94151080894915,0.671987836507416,196,"2"
"NCBP2-AS2","2",0.940936565299979,0.694545564860616,197,"2"
"MRPL14","2",0.940834565948052,0.665241804241729,198,"2"
"SERP1","2",0.940673625300308,0.680660386976166,199,"2"
"SRSF9","2",0.940358750804142,0.659670982278806,200,"2"
"SLC3A2","2",0.940263421586753,0.658307493387691,201,"2"
"PPP2R1A","2",0.940130441806256,0.682247909839199,202,"2"
"CISD1","2",0.940118674355729,0.677693722290854,203,"2"
"EI24","2",0.940089499723511,0.65130839979471,204,"2"
"MLF2","2",0.939751148881315,0.652453392616157,205,"2"
"ARPC3","2",0.939571240356336,0.654103805666861,206,"2"
"LAMTOR2","2",0.939547725911058,0.679262090349024,207,"2"
"MARCKSL1","2",0.939483487713419,0.677634413110719,208,"2"
"EIF4G1","2",0.939310499720429,0.678272849770983,209,"2"
"TSEN34","2",0.939197926725026,0.69274896957036,210,"2"
"TFAM","2",0.939018657600319,0.671782832774167,211,"2"
"ERG28","2",0.938549401000351,0.66530968782017,212,"2"
"DHPS","2",0.938539565578348,0.680977138352753,213,"2"
"WRB","2",0.93805564922582,0.676128476752166,214,"2"
"SUMO1","2",0.938030869158424,0.67679914936188,215,"2"
"ECH1","2",0.937768061114875,0.650487552077802,216,"2"
"TMEM14C","2",0.937746164205424,0.648036119118277,217,"2"
"MRPL39","2",0.937013120985669,0.682905935039709,218,"2"
"POLR2H","2",0.936890893525806,0.693360003019845,219,"2"
"NQO1","2",0.936825703078972,0.66135938846373,220,"2"
"CSRP2","2",0.936530844607964,0.671380377609281,221,"2"
"CD63","2",0.936203673321292,0.645929605634323,222,"2"
"YWHAQ","2",0.936111710103208,0.672066638391667,223,"2"
"SLPI","2",0.935945272433877,0.680067455338356,224,"2"
"BASP1","2",0.935543470395997,0.67264928147317,225,"2"
"APH1A","2",0.935166082512275,0.663856407955062,226,"2"
"PFN1","2",0.93437178971593,0.668439401346737,227,"2"
"WDR83OS","2",0.933887954283694,0.657264774822604,228,"2"
"EBLN3P","2",0.933797141284993,0.66601369191228,229,"2"
"LSM4","2",0.933680502528187,0.665041226503161,230,"2"
"EMP2","2",0.932752851479814,0.681046126267442,231,"2"
"SPATC1L","2",0.932319341251022,0.67749110001458,232,"2"
"DBI","2",0.932084802775827,0.677075811071647,233,"2"
"MDH1","2",0.932077214777855,0.676787718973695,234,"2"
"HAT1","2",0.931976855779442,0.640123712033826,235,"2"
"MAGOH","2",0.931853362470328,0.676585481174411,236,"2"
"SPATS2","2",0.931809712370059,0.66648724364142,237,"2"
"MRPS12","2",0.93155881136737,0.677244314385988,238,"2"
"THYN1","2",0.93099991666627,0.64489455029887,239,"2"
"RBM17","2",0.93095222199737,0.678712889088142,240,"2"
"TBCA","2",0.930939849462553,0.65778357870512,241,"2"
"SDC1","2",0.930101546902607,0.665529963754534,242,"2"
"DESI2","2",0.929971102708832,0.671268466820764,243,"2"
"PDIA6","2",0.929748436905535,0.658273963034798,244,"2"
"DPM1","2",0.929345605587004,0.681744311086538,245,"2"
"UBXN4","2",0.929227729566566,0.63511944266506,246,"2"
"GORASP2","2",0.929198032588245,0.651648081685277,247,"2"
"RAB5IF","2",0.929042351284351,0.675953167417018,248,"2"
"TEAD2","2",0.928853748818854,0.649098928950967,249,"2"
"LAGE3","2",0.928837521631504,0.680962279386577,250,"2"
"C6orf48","2",0.928580062605402,0.663292221721167,251,"2"
"PPP4C","2",0.928530869989067,0.670661861174343,252,"2"
"PGAM1","2",0.928435392795717,0.651927246371988,253,"2"
"UTP11","2",0.928280502066996,0.680413472583622,254,"2"
"LARP6","2",0.927949654063602,0.649335958005863,255,"2"
"MDFI","2",0.927825863046221,0.658717026415065,256,"2"
"ERGIC3","2",0.927722958677416,0.644927208311185,257,"2"
"YIPF3","2",0.927035869352536,0.638988019731813,258,"2"
"CD9","2",0.926974502716036,0.642095253237715,259,"2"
"RTRAF","2",0.92669797171309,0.628979247764037,260,"2"
"ATP5PD","2",0.926324437697427,0.67247631938575,261,"2"
"DNASE2","2",0.926204247436258,0.660344070286595,262,"2"
"COX4I1","2",0.92610096786566,0.639355454311719,263,"2"
"LAPTM4A","2",0.925956498014591,0.659860489324462,264,"2"
"EIF3D","2",0.925594833581735,0.633025148038949,265,"2"
"RFXANK","2",0.925584761656307,0.656631602851006,266,"2"
"GNL2","2",0.924176375034418,0.663208968196716,267,"2"
"NAP1L1","2",0.923236840601972,0.648800431730163,268,"2"
"PSMD2","2",0.923091254951217,0.671784731818816,269,"2"
"SUMO3","2",0.922658584073137,0.665441178208192,270,"2"
"ACTL6A","2",0.922587916614488,0.67702770252633,271,"2"
"GMPS","2",0.922140404392777,0.676955745891254,272,"2"
"KRT8","2",0.921499416175285,0.65836658493037,273,"2"
"MRPS15","2",0.92103701914295,0.668548070435102,274,"2"
"PRDX4","2",0.920431697538596,0.634842052444352,275,"2"
"PHGDH","2",0.920417097916435,0.667641274036437,276,"2"
"MORF4L2","2",0.920285855941313,0.650754928509441,277,"2"
"ATP5MG","2",0.92024494423729,0.643061104403781,278,"2"
"CRABP1","2",0.919764122018329,0.652402448986725,279,"2"
"LMCD1","2",0.919319077987562,0.64215283934694,280,"2"
"SSR1","2",0.918743685364068,0.643207020621885,281,"2"
"MAP1LC3B","2",0.918646645593909,0.632646993740841,282,"2"
"ODC1","2",0.918412233699881,0.660180609462405,283,"2"
"C1orf122","2",0.916386686777216,0.631658910996932,284,"2"
"LMO4","2",0.916358913722681,0.651946259515675,285,"2"
"PARP1","2",0.915487228259429,0.648418271771814,286,"2"
"HNRNPH3","2",0.914876525440616,0.642703414810479,287,"2"
"TMEM123","2",0.914750367809665,0.649675712351816,288,"2"
"TMEM205","2",0.914352081690295,0.645153566509396,289,"2"
"FAM178B","2",0.914318792404173,0.660387341196386,290,"2"
"PRPF31","2",0.914130075303114,0.664310402964899,291,"2"
"PERP","2",0.913452803925796,0.658645333421297,292,"2"
"TMEM258","2",0.913232831753408,0.611495089211954,293,"2"
"FADS2","2",0.913161221424502,0.655569514660183,294,"2"
"NR1H2","2",0.913111289865327,0.651569481734857,295,"2"
"MSRB2","2",0.913024072328611,0.622117462850141,296,"2"
"SH3BGR","2",0.91225732660806,0.647770530961929,297,"2"
"ARF4","2",0.912142129024609,0.619978711124733,298,"2"
"YIF1A","2",0.911918308504668,0.62940453553265,299,"2"
"UBB","2",0.911402581292302,0.624475529693352,300,"2"
"GRN","2",0.911317369621845,0.626143285441157,301,"2"
"FDPS","2",0.911026648936737,0.65216691578625,302,"2"
"SLIRP","2",0.910251536834914,0.633602266648526,303,"2"
"PCNA","2",0.908766942576439,0.652858042778933,304,"2"
"CHCHD2","2",0.908636497786332,0.627175004253031,305,"2"
"CALR","2",0.908531312780443,0.617248377661968,306,"2"
"MDK","2",0.908059460485011,0.636397830367331,307,"2"
"POLR1D","2",0.905671574897419,0.631128905156956,308,"2"
"SF3B2","2",0.905586908834573,0.630131992341398,309,"2"
"SIX1","2",0.90465531548657,0.652022654268934,310,"2"
"CCNH","2",0.904249243629823,0.640216688948871,311,"2"
"UNC50","2",0.90323061292992,0.608437580249015,312,"2"
"RASIP1","2",0.903011874196869,0.648937847636884,313,"2"
"SMCO4","2",0.902343799483508,0.641399848769903,314,"2"
"MYDGF","2",0.901958771210654,0.608077918154808,315,"2"
"KIT","2",0.90094394713406,0.626885358591674,316,"2"
"PRDX1","2",0.900742811333295,0.649036415709463,317,"2"
"HSBP1","2",0.90016406449719,0.608090463189509,318,"2"
"TFPT","2",0.899442967424761,0.64377303511573,319,"2"
"CCND1","2",0.899396299042382,0.639712434701279,320,"2"
"TTYH1","2",0.899183832408535,0.657644238189721,321,"2"
"MALL","2",0.89871352721185,0.645762121119431,322,"2"
"TUBA1B","2",0.898255976636114,0.650720609658288,323,"2"
"FABP5","2",0.898142089053868,0.637999915771281,324,"2"
"KRT6B","2",0.897528507402114,0.639710744951478,325,"2"
"NPW","2",0.897224129557066,0.626944746664497,326,"2"
"SEC11C","2",0.897040910833232,0.621300734417604,327,"2"
"PSMG1","2",0.896202333330313,0.619647384394621,328,"2"
"TTC3","2",0.895999451722012,0.638684105503581,329,"2"
"MBOAT7","2",0.895741941726786,0.636824305829379,330,"2"
"NOTCH3","2",0.895512283335042,0.63587753242874,331,"2"
"EIF3L","2",0.894732680405435,0.593042964686257,332,"2"
"TMED10","2",0.894578825817749,0.602057750708354,333,"2"
"CRABP2","2",0.893975659759527,0.657286202772105,334,"2"
"PRPF40A","2",0.893935116576398,0.650987738931001,335,"2"
"LMAN1","2",0.893758903583284,0.625576467690642,336,"2"
"RPS7","2",0.893469166989237,0.640676342181506,337,"2"
"MYC","2",0.893374845009194,0.607039243991164,338,"2"
"POLR2F","2",0.892990813956942,0.609342939446241,339,"2"
"COMMD6","2",0.891666701848441,0.598642951322056,340,"2"
"S100A1","2",0.890891528287166,0.618233300094893,341,"2"
"TMED2","2",0.890861256043937,0.594061084255157,342,"2"
"PCBP2","2",0.889684211222565,0.608150813572609,343,"2"
"CNPY2","2",0.88955992995144,0.643914760131744,344,"2"
"FYTTD1","2",0.889473102799893,0.603701979800121,345,"2"
"RBM42","2",0.888449125809358,0.649742142558803,346,"2"
"RPS25","2",0.88744948866123,0.619334014676012,347,"2"
"KRT16","2",0.887237446392072,0.61213671888035,348,"2"
"CYB5A","2",0.887207123866034,0.618543907195927,349,"2"
"MRPL47","2",0.886800158969088,0.649237489659382,350,"2"
"DDX39A","2",0.886675064697268,0.640573693947734,351,"2"
"ARL6IP5","2",0.886195766064545,0.589906699516274,352,"2"
"TUBA1C","2",0.885974624491323,0.617244897624977,353,"2"
"RBX1","2",0.885807621761209,0.604657599594532,354,"2"
"CLDN7","2",0.885797274163303,0.619103818931392,355,"2"
"VIM","2",0.885614249180218,0.615460453879931,356,"2"
"TRMT10C","2",0.885563196572387,0.619874334891221,357,"2"
"ANKRD35","2",0.885384077033719,0.609156912016813,358,"2"
"HEXIM1","2",0.885182484330957,0.621198043880044,359,"2"
"CDKN2A","2",0.884140058360031,0.648710471247073,360,"2"
"CAPG","2",0.883702180862829,0.587762214706077,361,"2"
"ANAPC16","2",0.883070673938133,0.577511059516202,362,"2"
"COX5B","2",0.88237432606553,0.580925547421055,363,"2"
"S100P","2",0.880633021319492,0.610963220333908,364,"2"
"NACA","2",0.880578704744006,0.606435398696951,365,"2"
"MLEC","2",0.880381363360733,0.595486179207629,366,"2"
"UQCRH","2",0.880030295588455,0.634234258632747,367,"2"
"SEC63","2",0.879950489260099,0.630806615658278,368,"2"
"HIGD2A","2",0.879439482205261,0.621080995370207,369,"2"
"FAM213A","2",0.879013060229973,0.613507292700879,370,"2"
"NIPSNAP3A","2",0.878922244058571,0.634521225008268,371,"2"
"FAM162A","2",0.878812802096168,0.607699771516044,372,"2"
"FXYD3","2",0.877847268304995,0.614660227642092,373,"2"
"HNRNPA1","2",0.877622022783645,0.597183370980212,374,"2"
"CCT5","2",0.877179825465513,0.628990028647834,375,"2"
"RPL39L","2",0.876929649003629,0.628836879375329,376,"2"
"DNAJC9","2",0.876581799051094,0.634693804555775,377,"2"
"H3F3A","2",0.876311057111707,0.619701251425331,378,"2"
"SMIM7","2",0.876272124611421,0.604210103654384,379,"2"
"GTPBP4","2",0.876215749311988,0.627512462109286,380,"2"
"MYO10","2",0.87598532342027,0.631438402304438,381,"2"
"APLP2","2",0.875596866082798,0.605798625946684,382,"2"
"CCSER2","2",0.874886275303724,0.613509546517085,383,"2"
"DCUN1D5","2",0.874444155885641,0.625953364075001,384,"2"
"PAM","2",0.873902617706374,0.617164516498096,385,"2"
"MFSD1","2",0.871844376984408,0.609410316477877,386,"2"
"LURAP1L","2",0.870893264334443,0.620126448209222,387,"2"
"ERLEC1","2",0.86983280634635,0.590596609006904,388,"2"
"RPL23A","2",0.866739327563123,0.601158083928384,389,"2"
"ASPG","2",0.865222125636421,0.623817492678889,390,"2"
"HEY1","2",0.864060000459609,0.601638567541382,391,"2"
"LAPTM4B","2",0.861973264393513,0.568359668215785,392,"2"
"RPS16","2",0.861470544674598,0.609771237701297,393,"2"
"SH3YL1","2",0.859745987739308,0.610206600532193,394,"2"
"RPL35A","2",0.859691217976694,0.610817365619337,395,"2"
"AP3S1","2",0.859218785387262,0.610518048662052,396,"2"
"TMEM59","2",0.858619502158675,0.545526518249527,397,"2"
