"Database","Temporal_Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Reactome","2","R-HSA-9764561","Regulation of CDH1 Function","11/373","59/10039",9.04074801020455e-06,7.15040978988905e-05,4.691738937942e-05,"PSMB2/PSMA5/PSMB4/RPS27A/PSMD2/PSMB1/PSMB5/PSMA3/UBB/UBA52/PSMC4",11
"Reactome","2","R-HSA-9927418","Developmental Lineage of Mammary Gland Luminal Epithelial Cells","7/373","22/10039",9.71862169443374e-06,7.6331674558365e-05,5.00850021533318e-05,"EPCAM/KIT/ALDH1A1/KRT5/KRT8/KRT19/SLPI",7
"Reactome","2","R-HSA-418990","Adherens junctions interactions","20/373","179/10039",1.04409218306587e-05,8.14391902791375e-05,5.34362968465652e-05,"PSMB2/PSMA5/PSMB4/NECTIN4/OST4/RPS27A/PSMD2/CSNK2B/HDAC2/PSMB1/MYC/TMEM258/CADM1/PSMB5/PSMA3/UBB/SEC11C/RPN2/UBA52/PSMC4",20
"Reactome","2","R-HSA-1236975","Antigen processing-Cross presentation","14/373","96/10039",1.12012661103537e-05,8.67714518548632e-05,5.6935058455655e-05,"PSMB2/PSMA5/PSMB4/S100A1/RPS27A/PSMD2/PSMB1/SEC61B/PSMB5/PSMA3/UBB/CALR/UBA52/PSMC4",14
"Reactome","2","R-HSA-389958","Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding","8/373","31/10039",1.25428004415234e-05,9.65027707439654e-05,6.33202600162833e-05,"CCT4/CCT5/TCP1/TUBA1B/TUBA1C/CCT2/PFDN4/CCT8",8
"Reactome","2","R-HSA-5687128","MAPK6/MAPK4 signaling","12/373","73/10039",1.37451237525031e-05,0.000104333791705241,6.84585817415377e-05,"PSMB2/PSMA5/PSMB4/RPS27A/PSMD2/PSMB1/MYC/PSMB5/PSMA3/UBB/UBA52/PSMC4",12
"Reactome","2","R-HSA-68867","Assembly of the pre-replicative complex","12/373","73/10039",1.37451237525031e-05,0.000104333791705241,6.84585817415377e-05,"PSMB2/PSMA5/PSMB4/RPS27A/PSMD2/PSMB1/ANAPC16/PSMB5/PSMA3/UBB/UBA52/PSMC4",12
"Reactome","2","R-HSA-611105","Respiratory electron transport","18/373","153/10039",1.4236031993665e-05,0.000106928433780241,7.01610552515889e-05,"SDHB/UQCRH/NDUFS2/SDHC/MDH1/COX5B/NDUFB3/NDUFB5/HIGD2A/NDUFB9/CYC1/NDUFA8/COX14/COX4I1/RAB5IF/NDUFB7/UQCRFS1/ETFB",18
"Reactome","2","R-HSA-5610787","Hedgehog 'off' state","14/373","98/10039",1.42760331572205e-05,0.000106928433780241,7.01610552515889e-05,"PSMB2/PSMA5/PSMB4/RPS27A/PSMD2/PSMB1/TUBA1B/TUBA1C/PSMB5/PSMA3/UBB/UBA52/PSMC4/RBX1",14
"Reactome","2","R-HSA-9907900","Proteasome assembly","10/373","51/10039",1.45397359272274e-05,0.000108187114037462,7.09869378718513e-05,"PSMB2/PSMA5/PSMD4/PSMB4/PSMD2/PSMB1/PSMB5/PSMA3/PSMC4/PSMG1",10
