"Database","Temporal_Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Biological_Theme"
"GO_BP","1","GO:0030225","macrophage differentiation","1/52","67/15373",0.20348142242538,0.31162897943232,0.227679067383032,"HLA-DRB1",1,"Other biological processes"
"GO_BP","1","GO:0045670","regulation of osteoclast differentiation","1/52","67/15373",0.20348142242538,0.31162897943232,0.227679067383032,"LTF",1,"Other biological processes"
"GO_BP","1","GO:0051893","regulation of focal adhesion assembly","1/52","67/15373",0.20348142242538,0.31162897943232,0.227679067383032,"ACTG1",1,"Other biological processes"
"GO_BP","1","GO:0090109","regulation of cell-substrate junction assembly","1/52","67/15373",0.20348142242538,0.31162897943232,0.227679067383032,"ACTG1",1,"Other biological processes"
"GO_BP","1","GO:1900046","regulation of hemostasis","1/52","67/15373",0.20348142242538,0.31162897943232,0.227679067383032,"PLAT",1,"Other biological processes"
"GO_BP","1","GO:0099003","vesicle-mediated transport in synapse","2/52","248/15373",0.204647471384774,0.313020534847655,0.228695750875537,"ACTB/ACTG1",2,"Other biological processes"
"GO_BP","1","GO:0002707","negative regulation of lymphocyte mediated immunity","1/52","68/15373",0.20618748318808,0.314584666946933,0.229838520518708,"HLA-A",1,"Immune / antigen-presentation / inflammatory processes"
"GO_BP","1","GO:0141084","inflammasome-mediated signaling pathway","1/52","68/15373",0.20618748318808,0.314584666946933,0.229838520518708,"IFI16",1,"Other biological processes"
"GO_BP","1","GO:0071216","cellular response to biotic stimulus","2/52","251/15373",0.208359621116634,0.317108095457159,0.231682161154642,"LTF/B2M",2,"Other biological processes"
"GO_BP","1","GO:0035773","insulin secretion involved in cellular response to glucose stimulus","1/52","69/15373",0.208884526695053,0.317108095457159,0.231682161154642,"HLA-DRB1",1,"Other biological processes"
"GO_BP","1","GO:0045665","negative regulation of neuron differentiation","1/52","69/15373",0.208884526695053,0.317108095457159,0.231682161154642,"B2M",1,"Other biological processes"
"GO_BP","1","GO:0060760","positive regulation of response to cytokine stimulus","1/52","69/15373",0.208884526695053,0.317108095457159,0.231682161154642,"CD74",1,"Other biological processes"
"GO_BP","1","GO:0003208","cardiac ventricle morphogenesis","1/52","70/15373",0.211572582406753,0.31798827828976,0.232325231021951,"TPM1",1,"Other biological processes"
"GO_BP","1","GO:0032722","positive regulation of chemokine production","1/52","70/15373",0.211572582406753,0.31798827828976,0.232325231021951,"CD74",1,"Other biological processes"
"GO_BP","1","GO:0032835","glomerulus development","1/52","70/15373",0.211572582406753,0.31798827828976,0.232325231021951,"ACTA2",1,"Other biological processes"
"GO_BP","1","GO:0034248","regulation of amide metabolic process","1/52","70/15373",0.211572582406753,0.31798827828976,0.232325231021951,"CLU",1,"Metabolic processes"
"GO_BP","1","GO:0045661","regulation of myoblast differentiation","1/52","70/15373",0.211572582406753,0.31798827828976,0.232325231021951,"ACTB",1,"Other biological processes"
"GO_BP","1","GO:0050818","regulation of coagulation","1/52","70/15373",0.211572582406753,0.31798827828976,0.232325231021951,"PLAT",1,"Other biological processes"
"GO_BP","1","GO:0060415","muscle tissue morphogenesis","1/52","70/15373",0.211572582406753,0.31798827828976,0.232325231021951,"TPM1",1,"Other biological processes"
"GO_BP","1","GO:0001894","tissue homeostasis","2/52","254/15373",0.21207935336595,0.31798827828976,0.232325231021951,"ACTB/ACTG1",2,"Other biological processes"
"GO_BP","1","GO:0060249","anatomical structure homeostasis","2/52","254/15373",0.21207935336595,0.31798827828976,0.232325231021951,"ACTB/ACTG1",2,"Other biological processes"
"GO_BP","1","GO:0110053","regulation of actin filament organization","2/52","254/15373",0.21207935336595,0.31798827828976,0.232325231021951,"TPM1/ACTG1",2,"Other biological processes"
"GO_BP","1","GO:0006879","intracellular iron ion homeostasis","1/52","71/15373",0.214251679689302,0.320061477275419,0.233839929726847,"B2M",1,"Other biological processes"
"GO_BP","1","GO:0140962","multicellular organismal-level chemical homeostasis","1/52","71/15373",0.214251679689302,0.320061477275419,0.233839929726847,"B2M",1,"Other biological processes"
"GO_BP","1","GO:2000036","regulation of stem cell population maintenance","1/52","71/15373",0.214251679689302,0.320061477275419,0.233839929726847,"ACTB",1,"Other biological processes"
"GO_BP","1","GO:0071479","cellular response to ionizing radiation","1/52","72/15373",0.216921847814786,0.323256086939681,0.236173941635293,"IFI16",1,"Other biological processes"
"GO_BP","1","GO:0140895","cell surface toll-like receptor signaling pathway","1/52","72/15373",0.216921847814786,0.323256086939681,0.236173941635293,"LTF",1,"Other biological processes"
"GO_BP","1","GO:0006809","nitric oxide biosynthetic process","1/52","73/15373",0.21958311596155,0.326421844754577,0.238486874110858,"CLU",1,"Other biological processes"
