"Gene","Pseudotime_Bin","Z_Score","Cluster"
"MT-ND3","Bin_11",-0.405026416134234,1
"MT-ND3","Bin_12",-0.488010326528012,1
"MT-ND3","Bin_13",-0.341576670214538,1
"MT-ND3","Bin_14",-0.42320461891013,1
"MT-ND3","Bin_15",-0.673098943964625,1
"MT-ND3","Bin_16",-0.766379143425107,1
"MT-ND3","Bin_17",-0.936578034075207,1
"MT-ND3","Bin_18",-0.527580348931287,1
"MT-ND3","Bin_19",-0.375782205681135,1
"MT-ND3","Bin_20",-0.384465790473161,1
"TMEM205","Bin_1",-0.365423801760106,2
"TMEM205","Bin_2",-0.991069043015277,2
"TMEM205","Bin_3",-1.17145916822967,2
"TMEM205","Bin_4",-1.25353624143033,2
"TMEM205","Bin_5",-1.40879316531711,2
"TMEM205","Bin_6",-0.755917281790843,2
"TMEM205","Bin_7",-0.756996796160289,2
"TMEM205","Bin_8",-1.27159455213977,2
"TMEM205","Bin_9",-0.060862118342471,2
"TMEM205","Bin_10",0.322088633437657,2
"TMEM205","Bin_11",0.39633040463365,2
"TMEM205","Bin_12",0.274520615732772,2
"TMEM205","Bin_13",0.0385896069724763,2
"TMEM205","Bin_14",0.203626656016002,2
"TMEM205","Bin_15",0.266393787140996,2
"TMEM205","Bin_16",0.400961879130741,2
"TMEM205","Bin_17",1.57247407529813,2
"TMEM205","Bin_18",1.38262359330333,2
"TMEM205","Bin_19",1.8588335496671,2
"TMEM205","Bin_20",1.31920936685301,2
"RPL18A","Bin_1",-1.01975849882738,2
"RPL18A","Bin_2",-0.844049138833923,2
"RPL18A","Bin_3",-0.900299316597354,2
"RPL18A","Bin_4",-0.551323779729522,2
"RPL18A","Bin_5",-0.145938554079748,2
"RPL18A","Bin_6",-3.11715951197506,2
"RPL18A","Bin_7",-1.17209392158011,2
"RPL18A","Bin_8",0.442670587576931,2
"RPL18A","Bin_9",0.448572973019714,2
"RPL18A","Bin_10",0.366152934127559,2
"RPL18A","Bin_11",0.434155758913837,2
"RPL18A","Bin_12",0.616262545493379,2
"RPL18A","Bin_13",0.837314169565519,2
"RPL18A","Bin_14",0.969031889709441,2
"RPL18A","Bin_15",0.822902574222447,2
"RPL18A","Bin_16",0.570475593561952,2
"RPL18A","Bin_17",0.527973977912056,2
