"Gene","Spearman_rho","p_value","FDR","Absolute_Spearman_rho","Direction","Stage16B_Strong_Gene"
"GCLM",0.0453255125423676,0.000198472587555288,0.000447936565751413,0.0453255125423676,"Increasing",FALSE
"GABBR2",-0.0453246853613275,0.00019852602477272,0.000448010379630167,0.0453246853613275,"Decreasing",FALSE
"TMEM178B",-0.0453160979630495,0.000199081583446834,0.000449217188919921,0.0453160979630495,"Decreasing",FALSE
"CD4",-0.0453153050273969,0.000199132955718206,0.000449286194724414,0.0453153050273969,"Decreasing",FALSE
"WBP2NL",0.0453110445209565,0.00019940919629143,0.000449862483751727,0.0453110445209565,"Increasing",FALSE
"SMN1",0.0453048199895504,0.000199813426488595,0.000450727363926778,0.0453048199895504,"Increasing",FALSE
"AL137186.2",0.0452945584130377,0.000200481509128029,0.00045218718424556,0.0452945584130377,"Increasing",FALSE
"TTC8",0.0452895709700546,0.000200806975076502,0.000452874006616908,0.0452895709700546,"Increasing",FALSE
"ZNF551",0.0452668962321662,0.00020229292907895,0.000456177626776177,0.0452668962321662,"Increasing",FALSE
"DIRAS2",0.045263131162346,0.000202540664697714,0.000456688623134141,0.045263131162346,"Increasing",FALSE
"HAVCR2",-0.0452551262141571,0.000203068324822768,0.000457830620701098,0.0452551262141571,"Decreasing",FALSE
"CECR2",-0.0452487748003721,0.000203487907635676,0.000458728738160542,0.0452487748003721,"Decreasing",FALSE
"SYT13",-0.0452389283681659,0.00020413998588044,0.000460150734836372,0.0452389283681659,"Decreasing",FALSE
"SH2D3C",-0.0452338970415213,0.000204473941694758,0.000460855431792211,0.0452338970415213,"Decreasing",FALSE
"BTBD10",0.0452148869989246,0.000205740376194827,0.000463661438061342,0.0452148869989246,"Increasing",FALSE
"PIAS4",0.0452108018074781,0.000206013488372166,0.000464228517593588,0.0452108018074781,"Increasing",FALSE
"CDS1",0.0452082188175595,0.00020618634772868,0.000464569593829296,0.0452082188175595,"Increasing",FALSE
"LIN9",0.0451746227795461,0.000208447110974676,0.000469614477498202,0.0451746227795461,"Increasing",FALSE
"HIST2H3D",-0.0451720565193903,0.000208620754651521,0.000469956688003687,0.0451720565193903,"Decreasing",FALSE
"PIK3CG",-0.0451591801967227,0.000209494071830132,0.000471874806363263,0.0451591801967227,"Decreasing",FALSE
"ZSWIM3",0.0451499445382317,0.000210122579259943,0.000473241160792847,0.0451499445382317,"Increasing",FALSE
