"Gene","Bin_1","Bin_2","Bin_3","Bin_4","Bin_5","Bin_6","Bin_7","Bin_8","Bin_9","Bin_10","Bin_11","Bin_12","Bin_13","Bin_14","Bin_15","Bin_16","Bin_17","Bin_18","Bin_19","Bin_20"
"ATP5F1B",-0.906040122951985,-1.33416544694025,-1.29470303563238,-1.45800177747816,-1.47654719562471,-1.38789454194746,-0.710238663856189,-0.363756167448418,0.870071081843129,1.02827638864784,0.797774998232245,0.503154758875192,0.982865841958086,0.528429846576672,0.320448112415495,0.459828335018935,0.345947561337647,0.60297894699069,1.20538969161218,1.28618138837144
"CD74",1.82785272480652,1.97223877962341,1.88484632014903,2.07884171660789,-0.162437897375425,-0.556856982360264,-0.443207512721844,-0.556856982360264,-0.548797763118269,-0.522486533173723,-0.482262977639896,-0.482894794211938,-0.513536092546878,-0.492678661300808,-0.495452535382588,-0.516466244170621,-0.472026101442114,-0.467330539565499,-0.539983318650151,-0.510504605166574
"RPL27",-0.390725168911268,-0.69028450649968,-0.858325870759707,-1.53947628965201,-0.757686439018165,-3.03471473234236,-0.666000415861546,0.427723978000002,0.680233188320178,0.637565970877418,0.563288387439438,0.705835873960168,0.79663234193009,0.797439005270315,0.721226327764366,0.55847972272272,0.437952855213057,0.604062564108319,0.543690731601082,0.463082475837578
"TTYH1",-1.5858989206985,-1.42659588760075,-1.43555960392386,-1.36183451302935,-1.18612707501745,-0.780788302384749,-0.541367559921143,-0.877211027658152,1.01040815328215,0.913712704313927,0.717239545606532,0.86174096460671,1.04507979201563,0.845340811815679,0.605009351278941,0.510064503021123,0.41756891815764,0.856219023956238,0.749159190607752,0.663839931571635
"DNASE2",-0.730276113956899,-1.09830702266149,-1.35273600935323,-1.01889442549905,-1.36396472710016,-1.45197129156541,-0.182342460542115,-0.6088484076461,-0.245916646288809,0.25775317216793,0.568303022006827,0.0745232738591877,0.0580018469940551,0.266409916757994,0.350119741261891,0.423248456916067,1.54799906139487,1.39735185139709,1.50586915207244,1.60367760978489
"CRABP2",-0.772010266171819,-1.51583781662198,-1.61963448044179,-1.69466391929743,-1.65466129420646,-1.09841361403202,-0.56107689585027,0.548172356430178,0.767609169527986,0.987414707861512,0.786635421023877,0.690465471911389,0.709746758896364,0.464262813453036,0.601902761389974,0.570050550260201,0.663123694608818,0.648040709263549,0.865768424604812,0.613105447390068
"SPINT2",0.375569066168444,-0.8944105406533,-1.04851483165888,-1.25343589349165,-1.89290609966752,-1.94962700350528,-0.908433610119846,-0.699097068480501,0.32692673403231,0.503316652941121,0.614006725739985,0.533314593706131,0.334285293880579,0.383694771436501,0.644512775098535,0.759441382876,1.26512205208303,0.987554957279059,0.98328373500573,0.935396307329546
"TMEM167A",-1.01167587658055,-1.32415909219942,-1.37499839339614,-1.04993815046264,-1.45398863529386,-1.44665519883661,-0.619519408292441,-0.615207580654346,0.698850648825379,0.588796170269141,0.702922730628104,0.397236415976307,0.491524186078462,0.349904795833333,0.361817206923339,0.495137771927638,0.932644841791854,0.974689565640335,1.42456518180992,1.4780528200122
"RPS5",-0.945466975906666,-0.798435871301956,-0.929684764040953,-2.05666874403806,-0.763537348922426,-2.0306213986954,-0.827953492268966,-0.121855603842539,0.791006559460198,0.702684649076339,0.689717752946758,0.841008550201802,1.08093070651711,1.17769919452042,0.967295202197495,0.795419089914892,0.367939100115043,0.497480694316347,0.276621688371775,0.286421011378779
"NDUFB5",-0.859670806970867,-1.31954131820954,-1.43074209564432,-1.30833207784628,-1.28256981287363,-1.57532080836865,-1.07127041474638,-0.432276690798506,0.811778798002123,0.950878287489364,0.899231548014533,0.721633778155445,0.679848442710299,0.702946328824712,0.650585387159517,0.683629186494789,0.674115076375666,0.76927384851975,0.805724756597316,0.930078587114649
"CCSER2",-0.808004234737251,-1.07535250134988,-1.14486251440063,-1.29072671234185,-1.48830683216527,-1.02851274382209,0.304063282276397,-1.64717027909224,-0.306927946474264,0.164740562235648,0.607827742444589,0.458645560260059,0.19264303142661,0.76666459557941,0.87630731770266,0.9408635878201,1.18038627845274,1.23555478995736,1.26580392568601,0.79636309054189
"PPIC",-0.170068751832877,-1.12353926602883,-1.36317209248079,-1.18784249277899,-1.40308615674462,-1.68709830734588,-0.756899225238333,-0.573025225633785,0.0860177299770134,0.468443259477321,0.38820353680067,0.294658768282537,0.139400247772319,0.323214957580038,0.453816261364447,0.716106369888299,1.38461701425647,1.34522560788014,1.06953299055555,1.59549477424929
"OST4",-0.415308634621255,-0.9916007004081,-1.00764813976899,-1.40264942253879,-1.27372503407277,-2.06119744235771,-1.28375933477669,-0.4848957185396,0.745831972837631,0.690566869091258,0.663685181832204,0.907177175221697,0.326666697193465,0.42650861172216,0.937280425960444,0.776564595690629,0.989767373608061,0.988988435803647,0.680246340774342,0.787500747348372
"PAM",-1.14833087806623,-1.14493180122135,-1.28229925865324,-0.824094193280182,-1.58425388185136,-1.06739400477514,0.537140042683644,-1.16315610929126,-0.196916899967426,0.205823537064951,0.333994925137353,0.299489489226716,0.230693605296443,0.321443391276252,0.451836511050946,0.393484281901263,1.3245953089002,1.39671629223228,1.43438883235172,1.48177080998443
"CSRP2",-1.46210305351612,-0.982088616517939,-1.35406165153684,-0.886262819644768,-0.975437397333331,-1.05487088575199,-1.57356115445546,-0.600904561138668,-0.0402084011513252,0.202790261692976,0.579076365366002,0.5433096210778,0.513573140916212,0.768085088061028,0.817453364419041,0.893769377145113,1.35664367967333,1.0212025648701,1.06403027940305,1.16956479842179
"RPL23A",-0.0400338950750469,-0.780031796264519,-0.762168504218479,-1.99613239938864,-1.18733543775835,-2.51941932938836,-0.72664177423217,0.00935629593902276,0.773969043272101,0.553089537826771,0.575472843777537,0.786636688249896,0.826427798813568,0.893554062763186,0.785143976669832,0.583986508034047,0.478380303572239,0.602351359075255,0.572475485586934,0.570919232745179
