"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","DEG_direction","delta_pct"
0,2.79899679334354,0.246,0.021,0,"SPACA6","Higher_in_BRCA1_tumour",0.225
0,2.75683838091484,0.146,0.012,0,"LINC00461","Higher_in_BRCA1_tumour",0.134
9.2434533905084e-313,2.75152959672183,0.134,0.01,2.29838468554991e-308,"DTX3","Higher_in_BRCA1_tumour",0.124
6.35600842685161e-244,2.74164226231658,0.122,0.014,1.58042149533665e-239,"RRAS2","Higher_in_BRCA1_tumour",0.108
5.32470564650895e-262,2.73935765194897,0.125,0.013,1.32398805900445e-257,"C5orf38","Higher_in_BRCA1_tumour",0.112
1.67495058903949e-314,2.72886332174214,0.144,0.013,4.16476463964669e-310,"ADAMTS1","Higher_in_BRCA1_tumour",0.131
0,2.71157776613071,0.286,0.026,0,"KDELC2","Higher_in_BRCA1_tumour",0.26
0,2.70458160943158,0.499,0.073,0,"CADM1","Higher_in_BRCA1_tumour",0.426
0,2.7023681078521,0.503,0.054,0,"MEX3A","Higher_in_BRCA1_tumour",0.449
0,2.68457725461934,0.16,0.016,0,"LINC01006","Higher_in_BRCA1_tumour",0.144
8.15257507121943e-269,2.67536855634499,0.122,0.011,2.02713779145871e-264,"ZNF8","Higher_in_BRCA1_tumour",0.111
0,2.67250093361824,0.551,0.084,0,"ATF5","Higher_in_BRCA1_tumour",0.467
0,2.66873905579523,0.37,0.041,0,"TM7SF2","Higher_in_BRCA1_tumour",0.329
0,2.66866530736307,0.278,0.024,0,"SORL1","Higher_in_BRCA1_tumour",0.254
0,2.65606901546542,0.338,0.032,0,"SPPL3","Higher_in_BRCA1_tumour",0.306
0,2.65241402678201,0.355,0.042,0,"HSPA2","Higher_in_BRCA1_tumour",0.313
0,2.64030018899036,0.603,0.077,0,"YBEY","Higher_in_BRCA1_tumour",0.526
0,2.63062261363852,0.53,0.069,0,"SHKBP1","Higher_in_BRCA1_tumour",0.461
0,2.61369910486242,0.148,0.013,0,"CDA","Higher_in_BRCA1_tumour",0.135
0,2.60758974255216,0.692,0.09,0,"CRABP1","Higher_in_BRCA1_tumour",0.602
0,2.59207724934898,0.465,0.055,0,"FUNDC1","Higher_in_BRCA1_tumour",0.41
0,2.59160714156855,0.586,0.088,0,"MYADM","Higher_in_BRCA1_tumour",0.498
0,2.57685275252329,0.522,0.15,0,"ISG15","Higher_in_BRCA1_tumour",0.372
0,2.56351160035076,0.252,0.023,0,"BX284668.5","Higher_in_BRCA1_tumour",0.229
2.04942302387479e-246,2.55184691266004,0.11,0.01,5.09589034886466e-242,"AP006623.1","Higher_in_BRCA1_tumour",0.1
2.87295655526675e-313,2.54537290782658,0.143,0.013,7.14360647467078e-309,"GDF11","Higher_in_BRCA1_tumour",0.13
0,2.54499779758533,0.214,0.022,0,"HSPB2","Higher_in_BRCA1_tumour",0.192
0,2.52914575418505,0.156,0.014,0,"ZNF675","Higher_in_BRCA1_tumour",0.142
0,2.51801209520542,0.552,0.091,0,"FAM3B","Higher_in_BRCA1_tumour",0.461
0,2.51489095532688,0.544,0.083,0,"ZNF581","Higher_in_BRCA1_tumour",0.461
0,2.51084436628847,0.926,0.458,0,"TSEN34","Higher_in_BRCA1_tumour",0.468
0,2.51055971685402,0.457,0.058,0,"LTBP4","Higher_in_BRCA1_tumour",0.399
0,2.50713191600025,0.958,0.294,0,"MGP","Higher_in_BRCA1_tumour",0.664
0,2.50686174274486,0.39,0.05,0,"MME","Higher_in_BRCA1_tumour",0.34
0,2.4981346336482,0.395,0.045,0,"ATXN7L3B","Higher_in_BRCA1_tumour",0.35
0,2.49079798436124,0.495,0.073,0,"SH3BGR","Higher_in_BRCA1_tumour",0.422
0,2.47973702580357,0.185,0.017,0,"ATP6V0A4","Higher_in_BRCA1_tumour",0.168
3.84776087035604e-233,2.46558582351187,0.113,0.012,9.5674574041403e-229,"TJP3","Higher_in_BRCA1_tumour",0.101
7.14971800358258e-204,2.44555895892644,0.103,0.012,1.77777738159081e-199,"MCOLN3","Higher_in_BRCA1_tumour",0.091
0,2.44362457077544,0.336,0.04,0,"PRIM1","Higher_in_BRCA1_tumour",0.296
0,2.44296859816188,0.264,0.035,0,"MX2","Higher_in_BRCA1_tumour",0.229
0,2.43321482762519,0.206,0.021,0,"APC","Higher_in_BRCA1_tumour",0.185
0,2.42540789722193,0.998,0.976,0,"RPL28","Higher_in_BRCA1_tumour",0.022
0,2.42277316210535,0.411,0.056,0,"ISYNA1","Higher_in_BRCA1_tumour",0.355
0,2.41887374740493,0.772,0.164,0,"NFIX","Higher_in_BRCA1_tumour",0.608
0,2.41450273480211,0.168,0.016,0,"YJEFN3","Higher_in_BRCA1_tumour",0.152
0,2.41135979060226,0.591,0.092,0,"RHOBTB3","Higher_in_BRCA1_tumour",0.499
1.24337688649772e-257,2.40854384585284,0.126,0.014,3.09165662827658e-253,"SOX11","Higher_in_BRCA1_tumour",0.112
0,2.40746033851476,0.259,0.032,0,"HPN","Higher_in_BRCA1_tumour",0.227
7.97130075114498e-236,2.40087570136621,0.129,0.017,1.9820639317722e-231,"FXYD1","Higher_in_BRCA1_tumour",0.112
0,2.39260925222853,0.197,0.023,0,"COL18A1","Higher_in_BRCA1_tumour",0.174
1.27698461983859e-295,2.39025926582419,0.136,0.013,3.17522225722865e-291,"LINC01473","Higher_in_BRCA1_tumour",0.123
0,2.38713233983049,0.191,0.021,0,"NBAS","Higher_in_BRCA1_tumour",0.17
0,2.38536442261829,0.215,0.023,0,"IFT81","Higher_in_BRCA1_tumour",0.192
4.91231900363208e-289,2.37539083675211,0.14,0.015,1.22144812025312e-284,"B9D2","Higher_in_BRCA1_tumour",0.125
5.39896733207347e-287,2.37331833897508,0.14,0.015,1.34245322712007e-282,"ADGRG6","Higher_in_BRCA1_tumour",0.125
0,2.36462774591319,0.169,0.017,0,"HEXIM2","Higher_in_BRCA1_tumour",0.152
0,2.35487533640317,0.181,0.023,0,"NEFH","Higher_in_BRCA1_tumour",0.158
3.41009936509671e-232,2.33855600392411,0.228,0.065,8.47921207131298e-228,"TF","Higher_in_BRCA1_tumour",0.163
0,2.33266466852945,0.199,0.023,0,"SELENOI","Higher_in_BRCA1_tumour",0.176
0,2.32285358876376,0.401,0.044,0,"TNIK","Higher_in_BRCA1_tumour",0.357
0,2.31589554097328,0.976,0.691,0,"CD63","Higher_in_BRCA1_tumour",0.285
0,2.31400525743468,0.187,0.02,0,"ZSCAN5A","Higher_in_BRCA1_tumour",0.167
0,2.31385800327826,0.718,0.141,0,"HADHB","Higher_in_BRCA1_tumour",0.577
4.11714515050092e-252,2.30702183141082,0.137,0.018,1.02372814167205e-247,"ECI2","Higher_in_BRCA1_tumour",0.119
