"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","DEG_direction","delta_pct"
1.33863654590212e-133,-3.68700742137754,0.009,0.125,3.32851977138562e-129,"GPAT2","Higher_in_TotalCell",-0.116
1.2740263062743e-175,-3.67511776717797,0.043,0.205,3.16786641055106e-171,"E2F1","Higher_in_TotalCell",-0.162
7.65109111030334e-123,-3.66196360985263,0.026,0.144,1.90244380457693e-118,"HSD17B2","Higher_in_TotalCell",-0.118
1.93442322997842e-308,-3.6556567504359,0.042,0.29,4.80994336134134e-304,"UPP1","Higher_in_TotalCell",-0.248
0,-3.64940560362175,0.078,0.368,0,"RNF144B","Higher_in_TotalCell",-0.29
4.1325514443161e-106,-3.64199792567423,0.023,0.127,1.0275589166292e-101,"TRAF3IP3","Higher_in_TotalCell",-0.104
1.22268104015517e-88,-3.63489792946835,0.026,0.118,3.04019640634583e-84,"LAMA3","Higher_in_TotalCell",-0.092
7.943284330728e-314,-3.61965766200653,0.064,0.317,1.97509764883552e-309,"PSTPIP2","Higher_in_TotalCell",-0.253
2.26910053526045e-255,-3.616128997948,0.064,0.281,5.6421184809251e-251,"PRRX2","Higher_in_TotalCell",-0.217
5.48198364448648e-211,-3.61141725548139,0.043,0.229,1.36309523320156e-206,"BCAR3","Higher_in_TotalCell",-0.186
9.05136522211579e-90,-3.60233272018888,0.019,0.108,2.25062196247909e-85,"ENDOG","Higher_in_TotalCell",-0.089
2.64596222876223e-115,-3.57877366393844,0.027,0.14,6.57918508181728e-111,"PTGES","Higher_in_TotalCell",-0.113
1.50630076126885e-94,-3.57612533623684,0.021,0.115,3.74541684289499e-90,"TNFAIP8L3","Higher_in_TotalCell",-0.094
0,-3.54382256267067,0.298,0.688,0,"MAFB","Higher_in_TotalCell",-0.39
6.12709234699409e-89,-3.54375491115911,0.017,0.105,1.52350151208008e-84,"FOXI1","Higher_in_TotalCell",-0.088
5.23513786376274e-316,-3.51782927749889,0.07,0.325,1.30171702982461e-311,"TPST1","Higher_in_TotalCell",-0.255
0,-3.51782322754515,0.092,0.391,0,"PDCD7","Higher_in_TotalCell",-0.299
0,-3.51054296082093,0.304,0.788,0,"MFGE8","Higher_in_TotalCell",-0.484
0,-3.49834190658168,0.15,0.505,0,"C19orf33","Higher_in_TotalCell",-0.355
0,-3.4896607448193,0.247,0.577,0,"CSTA","Higher_in_TotalCell",-0.33
4.64356480613434e-199,-3.46911265080179,0.054,0.235,1.1546223890453e-194,"GJB5","Higher_in_TotalCell",-0.181
7.03079991157608e-100,-3.46106229164339,0.019,0.117,1.74820839801339e-95,"ARTN","Higher_in_TotalCell",-0.098
3.33696255805172e-96,-3.45293895969845,0.022,0.118,8.2973574005956e-92,"BTBD6","Higher_in_TotalCell",-0.096
1.57367425098708e-286,-3.43646135195058,0.069,0.307,3.91294102507937e-282,"ACP5","Higher_in_TotalCell",-0.238
9.59827176142081e-155,-3.43070780483995,0.024,0.166,2.38661027347729e-150,"BEX2","Higher_in_TotalCell",-0.142
0,-3.42561370856848,0.177,0.553,0,"SH3KBP1","Higher_in_TotalCell",-0.376
6.63319805634875e-161,-3.42413850112202,0.03,0.178,1.64934469671112e-156,"GLIPR2","Higher_in_TotalCell",-0.148
1.42356870405201e-118,-3.42288064334542,0.025,0.14,3.53970358262533e-114,"CAV1","Higher_in_TotalCell",-0.115
3.20911327403233e-85,-3.41723177942113,0.028,0.119,7.97946015588139e-81,"PTPRE","Higher_in_TotalCell",-0.091
0,-3.40817442756184,0.759,0.968,0,"DDIT4","Higher_in_TotalCell",-0.209
0,-3.40339599358828,0.073,0.335,0,"RNF187","Higher_in_TotalCell",-0.262
9.46101168702392e-301,-3.39104239754351,0.073,0.32,2.3524805559785e-296,"SIAH2","Higher_in_TotalCell",-0.247
6.71396405625959e-144,-3.39023012159524,0.037,0.175,1.66942716258895e-139,"GPR143","Higher_in_TotalCell",-0.138
4.30411126443294e-97,-3.38615577036229,0.013,0.105,1.07021726590125e-92,"THEMIS2","Higher_in_TotalCell",-0.092
1.76896493523936e-119,-3.37567114763206,0.021,0.134,4.39853131147266e-115,"UBE2D4","Higher_in_TotalCell",-0.113
2.5111829218531e-230,-3.37463291326376,0.064,0.268,6.24405633518774e-226,"FGFR1","Higher_in_TotalCell",-0.204
3.75028918195234e-223,-3.37195266477763,0.069,0.27,9.3250940509245e-219,"HIST1H2BJ","Higher_in_TotalCell",-0.201
3.01309661960832e-118,-3.35732612006938,0.01,0.116,7.49206474465609e-114,"SULF1","Higher_in_TotalCell",-0.106
0,-3.35264658322048,0.117,0.416,0,"LINC01133","Higher_in_TotalCell",-0.299
5.8775328772201e-84,-3.32020256475356,0.023,0.11,1.46144854992078e-79,"PSMB8-AS1","Higher_in_TotalCell",-0.087
3.58414229622983e-84,-3.2971715684664,0.019,0.104,8.91196981957547e-80,"ETV7","Higher_in_TotalCell",-0.085
3.95345121231143e-104,-3.28919306609677,0.024,0.127,9.83025643941236e-100,"ENO2","Higher_in_TotalCell",-0.103
2.36672314689554e-147,-3.28814120517672,0.044,0.188,5.88485710475575e-143,"PROS1","Higher_in_TotalCell",-0.144
3.34882880260516e-103,-3.28738889872904,0.024,0.127,8.32686281767774e-99,"SEPT3","Higher_in_TotalCell",-0.103
5.39815609310037e-86,-3.28101216451341,0.04,0.135,1.34225151254941e-81,"TPPP3","Higher_in_TotalCell",-0.095
0,-3.26474140294092,0.155,0.524,0,"SNHG15","Higher_in_TotalCell",-0.369
2.53854890985352e-206,-3.2563245577332,0.06,0.247,6.31210186435077e-202,"CCM2","Higher_in_TotalCell",-0.187
0,-3.25023779286526,0.109,0.386,0,"ID4","Higher_in_TotalCell",-0.277
2.42068563994734e-170,-3.24462134283185,0.049,0.211,6.01903484372907e-166,"MYO1E","Higher_in_TotalCell",-0.162
8.26728373405445e-169,-3.24008021454347,0.044,0.203,2.05566010047264e-164,"BHLHE41","Higher_in_TotalCell",-0.159
0,-3.23920405973298,0.134,0.515,0,"DSG3","Higher_in_TotalCell",-0.381
1.42419243468245e-134,-3.23401155963585,0.036,0.168,3.54125448883792e-130,"RFNG","Higher_in_TotalCell",-0.132
1.73968078333792e-105,-3.22628538913261,0.027,0.133,4.32571626776973e-101,"MICALL1","Higher_in_TotalCell",-0.106
0,-3.20975946406294,0.122,0.41,0,"RRP7A","Higher_in_TotalCell",-0.288
0,-3.20395315664676,0.566,0.889,0,"CST3","Higher_in_TotalCell",-0.323
4.39689421725312e-193,-3.201483083965,0.049,0.226,1.09328774711999e-188,"ABHD17C","Higher_in_TotalCell",-0.177
2.65487189721736e-181,-3.19761143684624,0.081,0.254,6.60133897243098e-177,"AVPI1","Higher_in_TotalCell",-0.173
1.19329842640117e-120,-3.18950457370249,0.057,0.184,2.9671365372465e-116,"CCNE1","Higher_in_TotalCell",-0.127
4.18845656303121e-172,-3.18573353702035,0.024,0.179,1.04145972439771e-167,"TMPRSS3","Higher_in_TotalCell",-0.155
0,-3.18513744712842,0.21,0.772,0,"KRT6A","Higher_in_TotalCell",-0.562
2.09561576228494e-71,-3.18176720046246,0.023,0.1,5.21074859292151e-67,"CDH11","Higher_in_TotalCell",-0.077
0,-3.18120391751801,0.111,0.39,0,"LINC00667","Higher_in_TotalCell",-0.279
7.39195385932099e-294,-3.16920009216864,0.069,0.315,1.83800932712016e-289,"CDH3","Higher_in_TotalCell",-0.246
1.21106484050609e-84,-3.16625878067124,0.03,0.121,3.01131272591839e-80,"IL1RAP","Higher_in_TotalCell",-0.091
6.10604493552317e-156,-3.16153706126555,0.028,0.174,1.51826807321784e-151,"TNF","Higher_in_TotalCell",-0.146
1.50481634755019e-176,-3.15603344020966,0.046,0.212,3.74172584818356e-172,"IRX4","Higher_in_TotalCell",-0.166
7.94127998213455e-224,-3.14471227479811,0.073,0.273,1.97459926755776e-219,"DHRS4","Higher_in_TotalCell",-0.2
2.07472226313058e-117,-3.1436331346383,0.024,0.139,5.15879690727418e-113,"AMOTL2","Higher_in_TotalCell",-0.115
0,-3.14244489371903,0.372,0.778,0,"TPM2","Higher_in_TotalCell",-0.406
